"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
1974	"FIBERS AND NET STRUCTURES OF FIBRIN IN INTRAVASCULAR BLOOD CLOTTING - A SCANNING ELECTRON MICROSCOPE STUDY [ZUR FASER- UND NETZSTRUKTUR DES FIBRINS BEI INTRAVASCULRER GERINNUNG - DEMONSTRATION AN HAND EINES PRAKTISCHEN FALLES]"	"BHM E"	NA	"FIBRIN; ANGIOGRAPHY;  ARTERIOGRAPHY;  ARTERY THROMBOSIS;  AUTOPSY;  BLOOD CLOT;  BLOOD CLOTTING;  CAROTID ARTERY;  DISSEMINATED INTRAVASCULAR CLOTTING;  ENDOTHELIUM;  FATALITY;  FORENSIC MEDICINE;  METHODOLOGY;  THEORETICAL STUDY;  THROMBOSIS; BLOOD COAGULATION;  CAROTID ARTERIES;  DISSEMINATED INTRAVASCULAR COAGULATION;  ENGLISH ABSTRACT;  FEMALE;  FIBRIN;  HEMORRHAGE;  HUMAN;  MICROSCOPY; ELECTRON; SCANNING;  POSTMORTEM CHANGES;  PUNCTURES"	"10.1007/BF00200591"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"ABTEILUNG GERICHTLICHE MEDIZIN DER MEDIZINISCHEN FAKULTT, DER RHEINISCH-WESTFLISCHEN TECHNISCHEN HOCHSCHULE AACHEN, GERMANY"	"Scopus"	"ARTICLE"
1974	"FIBRE ANALYSIS IN FORENSIC SCIENCE"	"POHL KD;BUMILLER ML"	NA	"CHEMICAL ANALYSIS;  CHROMATOGRAPHY;  FIBRE ANALYSIS;  FIBRE PROPERTIES;  FIBRES;  FIBRES (ALL TYPES);  FINE STRUCTURE;  INFRARED SPECTROSCOPY;  LIGHT MICROSCOPY;  X RAY ANALYSIS"	NA	NA	"FREIBERG UNIV"	"Scopus"	"REVIEW"
1974	"GRANULOMATOUS PERITONITIS DUE TO CELLULOSE FIBERS FROM DISPOSABLE SURGICAL FABRICS: LABORATORY INVESTIGATION AND CLINICAL IMPLICATIONS"	"TINKER MA;BURDMAN D;DEYSINE M;TEICHER I;PLATT N;AUFSES JR. AH"	NA	"CELLULOSE; ADVERSE DRUG REACTION;  ARTICLE;  COTTON;  ETIOLOGY;  FOREIGN BODY;  FOREIGN BODY GRANULOMA;  FOREIGN BODY REACTION;  FORENSIC MEDICINE;  GRANULOMATOUS PERITONITIS;  HISTOLOGY;  IATROGENIC DISEASE;  LEGAL ASPECT;  PERITONITIS;  SURGERY"	"10.1097/00000658-197412000-00006"	"ANNALS OF SURGERY"	"DEPT. SURG., QUEENS HOSP. CENT., AFFILIAT. LONG ISLAND JEWISH HILLSIDE MED. CENT., STATE UNIV. NEW YORK, STONY BROOK, N.Y., UNITED STATES"	"Scopus"	"ARTICLE"
1974	"HISTOPATHOLOGY OF EARLY MYOCARDIAL INFARCTS. A NEW APPROACH"	"BOUCHARDY B;MAJNO G"	NA	"AUTOPSY;  DIAGNOSIS;  FATALITY;  FORENSIC MEDICINE;  HEART INFARCTION;  HEART MUSCLE CELL;  HISTOLOGY;  SUDDEN DEATH; AUTOLYSIS;  AUTOPSY;  CELL NUCLEUS;  CELL SURVIVAL;  CORONARY CIRCULATION;  HISTOLOGICAL TECHNIQUES;  HUMAN;  INCLUSION BODIES;  MYOCARDIAL INFARCTION;  MYOCARDIUM;  MYOFIBRILS;  RIGOR MORTIS;  TIME FACTORS"	NA	"AMERICAN JOURNAL OF PATHOLOGY"	"DEPT. PATHOL., UNIV. GENEVA FAC. MED., GENEVA, SWITZERLAND"	"Scopus"	"ARTICLE"
1974	"INCIDENCE AND HISTOLOGICAL CHARACTERISTICS OF PENETRATING HEART INJURIES (HUNGARIAN)"	"VARGA T;SOOS J"	NA	"AUTOPSY;  CARDIOLOGY;  FORENSIC MEDICINE;  HEART INJURY;  HEART MUSCLE CELL;  HISTOLOGY;  INJURY;  PENETRATING TRAUMA;  ARTICLE;  HEART MUSCLE;  HEART VENTRICLE;  HUMAN;  HUNGARY;  PATHOLOGY;  PHASE CONTRAST MICROSCOPY;  STAINING; ENGLISH ABSTRACT;  HEART INJURIES;  MICROSCOPY; PHASE-CONTRAST;  MYOCARDIUM;  STAINING AND LABELING"	NA	"MORPHOLOGIAI ES IGAZSAGUGYI ORVOSI SZEMLE"	"IGAZSAGUGYI ORVOSTANI INT., SEMMELWEIS ORVOSTUD. EGYET., BUDAPEST, HUNGARY"	"Scopus"	"ARTICLE"
1974	"LATE SEQUELAE OF IATROGENIC SPINAL ACCESSORY NERVE INJURY"	"VALTONEN EJ;LILIUS HG"	NA	"ACCESSORY NERVE;  BRACHIAL PLEXUS;  FORENSIC MEDICINE;  IATROGENIC DISEASE;  INJURY;  LEGAL ASPECT;  MAJOR CLINICAL STUDY;  NERVE INJURY;  NERVE SUTURE;  SHOULDER PAIN;  SPINAL ACCESSORY ROOT;  SPINAL NERVE;  STERNOCLEIDOMASTOID MUSCLE;  THERAPY;  TRAPEZIUS MUSCLE; ACCESSORY NERVE;  ADULT;  BIOPSY;  DISLOCATIONS;  FEMALE;  FOLLOW-UP STUDIES;  HUMAN;  LATERALITY;  MALE;  MIDDLE AGE;  MUSCULAR ATROPHY;  NECK;  PHYSICAL THERAPY TECHNIQUES;  SCAPULA;  SHOULDER DISLOCATION;  TIME FACTORS"	NA	"ACTA CHIRURGICA SCANDINAVICA"	"DEPT. PHYS. MED., UNIV. CENT. HOSP., HELSINKI, FINLAND"	"Scopus"	"ARTICLE"
1974	"LEGAL ASPECTS OF OBTAINING EVIDENCE FOR ANALYSIS BY FORENSIC TECHNIQUES"	"GIANNELLI PC"	NA	"GLASS;  TRACE ELEMENT; BLOOD;  DIAGNOSIS;  EVIDENCE;  FIBER;  FINGER DERMATOGLYPHICS;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  GRAPHOLOGY;  GUNSHOT INJURY;  HAIR;  LEGAL ASPECT;  SALIVA;  SOIL;  SPERM;  VOICE"	NA	"JOURNAL OF FORENSIC SCIENCES"	"INST. PATHOL., GEORGE WASHINGTON UNIV. MASTERS DEGREE PROGR. FORENS. SCI., LEG. MED. SECT., WASHINGTON, D.C. 20306, UNITED STATES"	"Scopus"	"ARTICLE"
1974	"METHODS FOR FORENSIC COMPARISON AND CHARACTERIZATION OF COMMERCIAL POLYMER-BASED MATERIALS."	"WEST JC"	NA	"CHEMICAL ANALYSIS;  MICROSCOPIC EXAMINATION;  SPECTROSCOPIC ANALYSIS;  X-RAY ANALYSIS; FORENSIC LABORATORIES; POLYMERS"	NA	"J POLYM SCI POLYM SYMP"	NA	"Scopus"	"CONFERENCE MATERIAL"
1974	"PAPER FIBER IMPRESSIONS ON CARBON TAPE RIBBONS"	"HAHN GH"	NA	"FIBER;  FORENSIC IDENTIFICATION;  METHODOLOGY;  PAPER;  THEORETICAL STUDY"	"10.1520/jfs10081j"	"JOURNAL OF FORENSIC SCIENCES"	"SCI. INVEST. DIV., QUESTIONED DOCUMENT SECT., LOS ANGELES POLICE DEPT., LOS ANGELES, CALIF. 90012, UNITED STATES"	"Scopus"	"ARTICLE"
1974	"PENETRANT WOUND OF LUNG AND HEART (SERBOCROATIAN)"	"ZATRIC A"	NA	"DIAGNOSIS;  FORENSIC MEDICINE;  HEART INJURY;  LUNG;  LUNG INJURY;  MAJOR CLINICAL STUDY;  PENETRATING TRAUMA;  THERAPY;  ADULT;  ARTICLE;  HEART AUSCULTATION;  HUMAN;  INJURY;  MALE;  RESUSCITATION;  THORAX INJURY; ADULT;  HEART INJURIES;  THORACIC INJURIES"	NA	"MED.PREGL."	"SERV. CHIR., HOP. CLIN., PRISTINA"	"Scopus"	"ARTICLE"
1974	"PEROXIDASE ACTIVITY IN AUTOPSY MATERIAL. EVALUATION OF MICROCIRCULATION"	"TORACK RM"	NA	"HEMOGLOBIN;  PEROXIDASE; AUTOPSY;  BRAIN INFARCTION;  BRAIN STEM;  DIAGNOSIS;  FORENSIC MEDICINE;  HEART INFARCTION;  METHODOLOGY;  MICROCIRCULATION;  ERYTHROCYTES;  HEMOGLOBINS;  INFARCTION;  MYOCARDIAL INFARCTION;  MYOCARDIUM;  NECROSIS;  PEROXIDASES;  TIME FACTORS"	NA	"ARCHIVES OF PATHOLOGY AND LABORATORY MEDICINE"	"DEPT. PATHOL., WASHINGTON UNIV. SCH. MED., ST. LOUIS, MO. 63110, UNITED STATES"	"Scopus"	"ARTICLE"
1974	"SUCCESSFUL CONFIRMATION OF TRACES OF CLOTHING FIBERS OF FIRE RAISERS [ERFOLGREICHE SICHERUNG VON TEXTILFASERSPUREN BEI BRANDEN]"	"NA NA"	NA	"DIAGNOSIS;  FIRE;  FORENSIC MEDICINE;  MAJOR CLINICAL STUDY;  PYROMANIA"	NA	"KRIMINALISTIK"	NA	"Scopus"	"ARTICLE"
1974	"THE FORENSIC MICROANALYSIS OF PAINTS, PLASTICS AND OTHER MATERIALS BY AN INFRARED DIAMOND CELL TECHNIQUE"	"TWEED FT;CAMERON R;DEAK JS;RODGERS PG"	NA	"PAINT;  PLASTIC; FIBER;  FORENSIC SCIENCE; MICROCHEMISTRY;  PAINT;  PLASTICS;  SPECTROPHOTOMETRY; INFRARED"	"10.1016/0300-9432(74)90110-1"	"FORENSIC SCIENCE"	"ROYAL CANADIAN MOUNTED POLICE, CRIME DETECTION LABORATORIES, OTTAWA, ONT., CANADA"	"Scopus"	"ARTICLE"
1974	"THE PATHOPHYSIOLOGICAL RESPONSE TO SPINAL CORD INJURY. THE CURRENT STATUS OF RELATED RESEARCH"	"OSTERHOLM JL"	NA	"MELAMPOLIDE;  UNCLASSIFIED DRUG;  CATECHOLAMINE; BLEEDING;  CORDOTOMY;  FORENSIC MEDICINE;  HISTOLOGY;  HYPOTHERMIA;  HYPOXIA;  INJURY;  MAJOR CLINICAL STUDY;  MICROCIRCULATION;  NECROSIS;  PARAPLEGIA;  SPINAL CORD;  SPINAL CORD INJURY;  SPINAL CORD ISCHEMIA;  SPINAL CORD TRANSVERSE LESION;  THERAPY; ANIMAL;  ANOXIA;  CATECHOLAMINES;  DISEASE MODELS;  DOPAMINE;  FLUORESCENCE;  GLUCOCORTICOIDS;  HEMORRHAGE;  HISTOCYTOCHEMISTRY;  HUMAN; INDUCED;  LACTATES;  NERVE FIBERS; MYELINATED;  NEURAL CONDUCTION;  NOREPINEPHRINE;  OXYGEN CONSUMPTION;  REGIONAL BLOOD FLOW;  SPINAL CORD INJURIES;  SPINAL NERVE ROOTS;  SYNAPTIC VESICLES;  UREA"	"10.3171/jns.1974.40.1.0003"	"JOURNAL OF NEUROSURGERY"	"DIV. NEUROL. SURG., HAHNEMANN MED. COLL. HOSP., PHILADELPHIA, PA. 19102, UNITED STATES"	"Scopus"	"ARTICLE"
1974	"TRAUMATIC RUPTURE OF THE RIGHT CORONARY ARTERY WITH NINE HOURS SURVIVAL A CLINICAL, HISTOPATHOLOGICAL AND ENZYMOLOGIC STUDY"	"GOFFIN Y;HEYNDRICKX G"	NA	"ARTERY RUPTURE;  ATHEROSCLEROSIS;  AUTOPSY;  CORONARY ARTERY;  CORONARY ARTERY RUPTURE;  DIAGNOSIS;  ELECTROCARDIOGRAPHY;  FATALITY;  HEART INFARCTION;  HEART MUSCLE ISCHEMIA;  HEART MUSCLE NECROSIS;  HISTOLOGY;  INJURY;  MAJOR CLINICAL STUDY;  RESUSCITATION;  RIGHT CORONARY ARTERY;  SHOCK;  THERAPY;  THORAX WALL TRAUMA;  TRAFFIC ACCIDENT;  VESSEL RUPTURE; ACCIDENTS; TRAFFIC;  ACUTE DISEASE;  CORONARY VESSELS;  FORENSIC MEDICINE;  HUMAN;  LACTATE DEHYDROGENASE;  MALATE DEHYDROGENASE;  MALE;  MIDDLE AGE;  MYOCARDIAL INFARCTION;  MYOCARDIUM;  RUPTURE;  TIME FACTORS"	"10.1016/0300-9432(74)90094-6"	"FORENSIC SCIENCE"	"LABORATORY OF PATHOLOGICAL ANATOMY, UNIVERSITY OF BRUSSELS, AND LABORATORY OF LEGAL MEDICINE AND DEPARTMENT OF CARDIOLOGY, UNIVERSITY OF GHENT BELGIUM"	"Scopus"	"ARTICLE"
1974	"ULTRASTRUCTURAL ALTERATIONS OF MOUSE DIAPHRAGM NERVE ENDINGS INDUCED BY PURIFIED SCORPION VENOM, TITYUSTOXIN"	"BHM GM;POMPOLO S;DINIZ CR;GOMEZ MV;PIMENTA AF;NETTO JC"	NA	"TITYUS TOXIN; ARTHROPOD;  CYTOPLASM;  DIAPHRAGM;  DRUG TOXICITY;  ELECTRON MICROSCOPY;  FORENSIC MEDICINE;  INTRAPERITONEAL DRUG ADMINISTRATION;  MITOCHONDRION;  MOUSE;  MUSCLE;  NERVE ENDING;  NERVE FIBER;  SCORPION;  THEORETICAL STUDY; ANIMALS;  MICE;  MITOCHONDRIA;  MOTOR NEURONS;  NERVE ENDINGS;  NEUROMUSCULAR JUNCTION;  SCORPIONS;  SYNAPTIC VESICLES;  VENOMS"	"10.1016/0041-0101(74)90041-5"	"TOXICON"	"DEPARTMENTS OF MORPHOLOGY AND BIOCHEMISTRY, FACULTY OF MEDICINE OF RIBEIRO PRETO, UNIVERSITY OF SO PAULO, BRAZIL"	"Scopus"	"ARTICLE"
1975	"ALTERATIONS OF SYNTHETIC FIBERS OF CLOTHES IN TRAFFIC TRAUMA (RUSSIAN)"	"KUZMIN AI"	NA	"CLOTHING;  FORENSIC MEDICINE;  HEAT;  HYPERTHERMIA;  INJURY;  LEGAL ASPECT;  SYNTHETIC FIBER;  TRAFFIC ACCIDENT;  ARTICLE;  AUTOPSY;  HUMAN;  TEXTILE; ACCIDENTS; TRAFFIC;  CLOTHING;  ENGLISH ABSTRACT;  TEXTILES"	NA	"SUDEBNO-MEDITSINSKAYA EKSPERTIZA"	"MEZHRAJONN. SUDEBN. MED. EKSPERTIZY, MOZYR, BELARUS"	"Scopus"	"ARTICLE"
1975	"EXAMINATION OF PAINT SMEARS ON CLOTHING BY XRAY FLUORESCENCE SPECTROMETRY"	"WEST JC"	NA	NA	"10.1002/xrs.1300040207"	"XRAY SPECTROMETRY"	"DIVISION OF ANALYTICAL LABORATORIES, LIDCOMBE, 2141, AUSTRALIA"	"Scopus"	"ARTICLE"
1975	"FORENSIC TOXICOLOGICAL STUDIES OF HERBICIDE GRAMOXONE (JAPANESE)"	"TSUNENARI S;MUTO H;INOUE S"	NA	"ANTIBIOTIC AGENT;  CORTICOSTEROID;  HERBICIDE;  PARAQUAT; DRUG DETERMINATION;  FORENSIC MEDICINE;  FORENSIC TOXICOLOGY;  GAS CHROMATOGRAPHY;  INFRARED SPECTROMETRY;  LD 50;  LUNG HEMORRHAGE;  MOUSE;  SUICIDE;  THEORETICAL STUDY;  THIN LAYER CHROMATOGRAPHY;  TOXICOLOGY;  ULTRAVIOLET LASER;  ULTRAVIOLET SPECTROPHOTOMETRY"	NA	"JAPANESE JOURNAL OF LEGAL MEDICINE"	"DEPT. LEG. MED., KUMAMOTO UNIV. MED. SCH., KUMAMOTO, JAPAN"	"Scopus"	"ARTICLE"
1975	"JOINT COMMITTEE ON AVIATION PATHOLOGY: II. HEART PATHOLOGY ASSOCIATED WITH EXPOSURE TO HIGH SUSTAINED +GZ"	"BURTON RR;MACKENZIE WF"	NA	"ACCELERATION;  AGE;  AIRCRAFT ACCIDENT;  AUTOPSY;  AVIATION;  ENDOCARDIAL HEMORRHAGE;  ENDOCARDIUM;  ETIOLOGY;  FORENSIC MEDICINE;  HEART INJURY;  HEART MUSCLE;  HISTOLOGY;  INJURY;  MAST SUIT;  SWINE;  ANIMAL;  ARTICLE;  GRAVITY;  HEART DISEASE;  HEMORRHAGIC SHOCK;  PATHOLOGY; AGE FACTORS;  GRAVITATION;  HEART DISEASES;  MYOCARDIUM;  SHOCK; HEMORRHAGIC"	NA	"AVIATION SPACE AND ENVIRONMENTAL MEDICINE"	"USAF SCH. AEROSPACE MED., BROOKS AFB, TEX. 78235, UNITED STATES"	"Scopus"	"ARTICLE"
1975	"MAJOR COMPLICATIONS OF COLOSCOPY: BLEEDING AND PERFORATION"	"GEENEN JE;SCHMITT JR. MG;WU WC;HOGAN WJ"	NA	"BLEEDING;  COLON HEMORRHAGE;  COLON PERFORATION;  DIAGNOSIS;  FIBEROSCOPE;  FORENSIC MEDICINE;  GASTROINTESTINAL HEMORRHAGE;  IATROGENIC DISEASE;  LEGAL ASPECT;  METHODOLOGY;  MORTALITY;  PERITONITIS;  POLYPECTOMY;  SIGMOID;  SIGMOIDOSCOPY; ADHESIONS;  COLON;  COLONIC DISEASES;  COLONIC NEOPLASMS;  DIVERTICULUM;  ENDOSCOPY;  FIBER OPTICS;  HUMAN;  INTESTINAL PERFORATION;  INTESTINAL POLYPS;  POSTOPERATIVE COMPLICATIONS;  SUPPORT; U.S. GOV'T; P.H.S."	"10.1007/BF01070726"	"THE AMERICAN JOURNAL OF DIGESTIVE DISEASES"	"DEPARTMENT OF MEDICINE, RACINE MEDICAL CLINIC AND MILWAUKEE COUNTY GENERAL HOSPITAL, MEDICAL COLLEGE OF WISCONSIN, MILWAUKEE, WISCONSIN, UNITED STATES"	"Scopus"	"ARTICLE"
1975	"MYOCARDIAL LESIONS IN SUDDEN, UNEXPECTED CORONARY DEATH"	"HAEREM JW"	NA	"AUTOPSY;  DIAGNOSIS;  ETIOLOGY;  FATALITY;  FORENSIC MEDICINE;  HEART;  HEART ATRIOVENTRICULAR NODE;  HEART INFARCTION;  HEART MUSCLE CELL;  HEART MUSCLE FIBROSIS;  HEART VENTRICLE HYPERTROPHY;  HIS BUNDLE;  HISTOLOGY;  MAJOR CLINICAL STUDY;  SUDDEN DEATH; AGED;  AUTOPSY;  CORONARY DISEASE;  DEATH; SUDDEN;  FEMALE;  HEART CONDUCTION SYSTEM;  HUMAN;  MALE;  MIDDLE AGE;  MYOCARDIAL INFARCTION;  MYOCARDIUM;  ORGAN WEIGHT"	"10.1016/0002-8703(75)90218-5"	"AMERICAN HEART JOURNAL"	"ULLEVAL HOSPITAL, DEPARTMENT OF PATHOLOGY, UNIVERSITY OF OLSO, OSLO, NORWAY"	"Scopus"	"ARTICLE"
1975	"STUDIES ON THE EVIDENTIAL VALUE OF MICROTRACES IN CASES OF DEATH BY STRANGULATION [UNTERSUCHUNGEN UBER DEN AUSSAGEWERT VON MIKROSPUREN BEIM TOD DURCH STRANGULATION]"	"ALTHOFF H"	NA	"AUTOPSY;  CAUSE OF DEATH;  FATALITY;  FORENSIC MEDICINE;  HOMICIDE;  INJURY;  METHODOLOGY;  STATISTICS;  STRANGULATION;  SUICIDE;  THEORETICAL STUDY"	NA	"ARCHIV FUR KRIMINOLOGIE"	"INST. GERICHTL. MED., UNIV. KOLN, GERMANY"	"Scopus"	"ARTICLE"
1975	"THE EXPERIMENTAL CONTUSION INJURY OF THE SPINAL CORD IN SHEEP"	"YEO JD;PAYNE W;HINWOOD B;KIDMAN AD"	NA	"DIURETIC AGENT;  METHYLPREDNISOLONE;  METIROSINE;  MYELIN; CONTUSION;  DIAGNOSIS;  EDEMA;  ETIOLOGY;  FIXATION;  FORENSIC MEDICINE;  HISTOLOGY;  INJURY;  MICROCIRCULATION;  MICROCYST;  MYELOGRAPHY;  NERVE CELL;  NERVE FIBER;  PARAPLEGIA;  PARESIS;  PERFUSION;  SENSORY NERVE;  SHEEP;  SPINAL CORD;  SPINAL CORD CONTUSION;  SPINAL CORD EDEMA;  SPINAL CORD INJURY;  THEORETICAL STUDY"	"10.1038/sc.1974.45"	"PARAPLEGIA"	"KOLLING INSTITUTE OF MEDICAL RESEARCH, ROYAL NORTH SHORE HOSPITAL OF SYDNEY, AUSTRALIA;SCHOOL OF LIFE SCIENCES, NEW SOUTH WALES INSTITUTE OF TECHNOLOGY, ST. LEONARDS, AUSTRALIA;SPINAL INJURIES UNIT, ROYAL NORTH SHORE HOSPITAL OF SYDNEY, AUSTRALIA;CLINICAL PATHOLOGY, ROYAL NORTH SHORE HOSPITAL OF SYDNEY, AUSTRALIA;ROYAL NORTH SHORE HOSPITAL OF SYDNEY, AUSTRALIA;NEUROBIOLOGY UNIT, SCHOOL OF LIFE SCIENCES, NEW SOUTH WALES INSTITUTE OF TECHNOLOGY, AUSTRALIA"	"Scopus"	"ARTICLE"
1975	"THE RECOVERY OF FIBRES FROM THE SURFACE OF CLOTHING FOR FORENSIC EXAMINATIONS"	"POUNDS CA"	NA	"NYLON; CLOTHING;  FIBER;  FORENSIC MEDICINE;  LEGAL ASPECT;  METHODOLOGY;  THEORETICAL STUDY"	"10.1016/S0015-7368(75)70966-0"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"HOME OFFICE CENTRAL RESEARCH ESTABLISHMENT, ALDERMASTON, READING, BERKSHIRE, RG7 4PN, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1975	"THE TRANSFER OF FIBRES BETWEEN CLOTHING MATERIALS DURING SIMULATED CONTACTS AND THEIR PERSISTENCE DURING WEAR: PART IFIBRE TRANSFERENCE"	"POUNDS CA;SMALLDON KW"	NA	"ARTICLE;  CLOTHING;  IN VITRO STUDY;  LEGAL ASPECT;  METHODOLOGY;  PRESSURE;  THEORETICAL STUDY;  WEAR;  WOOL"	"10.1016/S0015-7368(75)70932-5"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"HOME OFFICE CENTRAL RESEARCH ESTABLISHMENT, ALDERMASTON, READING, BERKSHIRE, RG7 4PN, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1975	"THE TRANSFER OF FIBRES BETWEEN CLOTHING MATERIALS DURING SIMULATED CONTACTS AND THEIR PERSISTENCE DURING WEAR: PART IIFIBRE PERSISTENCE"	"POUNDS CA;SMALLDON KW"	NA	"ARTICLE;  CLOTHING;  IN VITRO STUDY;  LEGAL ASPECT;  METHODOLOGY;  THEORETICAL STUDY;  WEAR;  WOOL"	"10.1016/S0015-7368(75)70933-7"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"HOME OFFICE CENTRAL RESEARCH ESTABLISHMENT, ALDERMASTON, READING, BERKSHIRE, RG7 4PN, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1975	"THE TRANSFER OF FIBRES BETWEEN CLOTHING MATERIALS DURING SIMULATED CONTACTS AND THEIR PERSISTENCE DURING WEAR: PART III A PRELIMINARY INVESTIGATION OF THE MECHANISMS INVOLVED"	"POUNDS CA;SMALLDON KW"	NA	"ARTICLE;  CLOTHING;  IN VITRO STUDY;  METHODOLOGY;  TEXTILE;  THEORETICAL STUDY;  WEAR;  WOOL"	"10.1016/S0015-7368(75)70985-4"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"HOME OFFICE CENTRAL RESEARCH ESTABLISHMENT, ALDERMASTON, READING, BERKSHIRE, RG7 4PN, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1975	"TRACE ELEMENT COMPOSITION OF WOOL SAMPLES: SOME FORENSIC APPLICATIONS"	"BUTTERWORTH A"	NA	"CHEMICAL ANALYSIS;  CHEMICAL COMPOSITION;  FIBRES;  WOOL"	NA	NA	"BRADFORD UNIV"	"Scopus"	"ARTICLE"
1976	"A HISTOPATHOLOGICAL STUDY ON THE CONDUCTION SYSTEM OF THE SO-CALLED POKKURI DISEASE (SUDDEN UNEXPECTED CARDIAC DEATH OF UNKNOWN ORIGIN IN JAPAN)"	"GOTOH K"	"ABNORMAL MUSCLE BUNDLE;  BUNDLE OF HIS POKKURI DISEASE;  SINUS NODE;  SINUS NODE ARTERY;  U-SHAPED TURN"	"AUTOPSY;  DIAGNOSIS;  ETIOLOGY;  FORENSIC MEDICINE;  HEART MUSCLE CONDUCTION SYSTEM;  HIS BUNDLE;  HISTOLOGY;  MAJOR CLINICAL STUDY;  SINUS NODE;  SINUS NODE ARTERY;  SUDDEN DEATH; ADULT;  ARRHYTHMIA;  CASE REPORT;  DEATH; SUDDEN;  HEART BLOCK;  HEART CONDUCTION SYSTEM;  HEART DISEASES;  HUMAN;  MALE;  SINOATRIAL NODE"	"10.1253/jcj.40.753"	"JAPANESE CIRCULATION JOURNAL"	"DEPARTMENT OF PATHOLOGY, SHOWA UNIVERSITY SCHOOL OF MEDICINE, TOKYO, JAPAN"	"Scopus"	"ARTICLE"
1976	"CYTOID BODIES IN HUMAN SKIN (AUTHOR'S TRANSL) [ZYTOIDE KRPERCHEN IN DER MENSCHLICHEN HAUT]"	"GEBHART W"	NA	"AMYLOID;  ELASTIN;  FIBRIN;  HEMATOXYLIN; ARTICLE;  CYTOLOGY;  DISCOID LUPUS ERYTHEMATOSUS;  ELASTIC TISSUE;  ELECTRON MICROSCOPY;  HUMAN;  METABOLISM;  MORPHOGENESIS;  PATHOLOGY;  SKIN;  ULTRASTRUCTURE; AMYLOID;  ENGLISH ABSTRACT;  LUPUS ERYTHEMATOSUS; DISCOID;  MICROSCOPY; ELECTRON"	NA	"WIENER KLINISCHE WOCHENSCHRIFT, SUPPLEMENT"	NA	"Scopus"	"ARTICLE"
1976	"HAIRS AND FIBERS AS EVIDENCE"	"BURTON MJ"	NA	"FIBER;  HAIR;  HISTOLOGY;  LEGAL ASPECT;  METHODOLOGY;  THEORETICAL STUDY;  ANIMAL;  ARTICLE;  FORENSIC MEDICINE;  HUMAN;  TEXTILE;  UNITED STATES; ANIMAL;  TEXTILES"	NA	"MEDICO-LEGAL BULLETIN"	"BUR. FORENS. SCI., DIV. CONSOLIDATED LAB. SERV., COMMONWLTH. VIRGINIA, RICHMOND, VA., UNITED STATES"	"Scopus"	"ARTICLE"
1976	"HAIRS AND FIBERS PROVE VALUABLE IN HIT-RUN CASES"	"NA NA"	NA	"FIBER;  FORENSIC SCIENCE;  HAIR;  LEGAL ASPECT;  METHODOLOGY"	NA	"FBI LAW ENFORCEMENT BULLETIN"	NA	"Scopus"	"ARTICLE"
1976	"HISTOPATHOLOGY OF THE CONDUCTION SYSTEM IN THE SUDDEN INFANT DEATH SYNDROME"	"LIE JT;ROSENBERG HS;ERICKSON EE"	NA	"AUTOPSY;  CHILD;  ETIOLOGY;  FORENSIC MEDICINE;  HEART MUSCLE CONDUCTION SYSTEM;  HIS BUNDLE;  HISTOLOGY"	"10.1161/01.CIR.53.1.3"	"CIRCULATION"	"DEPT. PATHOL., BAYLOR COLL. MED., HOUSTON, TEX., UNITED STATES"	"Scopus"	"ARTICLE"
1976	"MICROSPECTROPHOTOMETRIC OBSERVATIONS ON TEXTILE FIBERS [MIKROSPEKTRALPHOTOMETRISCHE UNTERSUCHUNGEN AN TEXTILFASERN]"	"HALONBRENNER R"	NA	"IN VITRO STUDY;  METHODOLOGY;  THEORETICAL STUDY;  ADOLESCENT;  ADULT;  ARTICLE;  BLOOD STAIN;  CHEMISTRY;  CLOTHING;  CRIME;  FEMALE;  FORENSIC MEDICINE;  HOMICIDE;  HUMAN;  MALE;  SPECTROPHOTOMETRY; ADOLESCENT;  BLOOD STAINS;  MICROCHEMISTRY"	NA	"ARCHIV FUR KRIMINOLOGIE"	"WISSENSCHAFTL. DIENST, STADTPOLIZEI, ZURICH, SWITZERLAND"	"Scopus"	"ARTICLE"
