"PY"	"TI"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"DT"	"C1W"	"C1S"	"SO"	"Coder"	"DOI"	"DE"
1996	"A CASE REPORT ASSOCIATING A CORRECTABLE TYPEWRITER FILM RIBBON WITH QUESTIONED TYPEWRITTEN DOCUMENTS"	"WARIAS C"	""	""	""	"ARTICLE;  COMPARATIVE STUDY;  DOCUMENT EXAMINATION;  FIBER;  FILM;  FORENSIC SCIENCE;  FORGERY;  INSURANCE;  LEGAL LIABILITY;  PAPER;  PRINTING"	"ARTICLE"	""	"CENTRE OF FORENSIC SCIENCES, 25 GROSVENOR STREET, TORONTO, ON, M7A 2G8, CANADA"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"Scopus"	"10.1080/00085030.1996.10757053"	""
2015	"A CASE STUDY ON THE CONSTRUCTION DEFECTS OF REINFORCED CONCRETE WALLS WITH INSULATED CONCRETE FORMS"	"ERDEM I;PERAZA DB"	""	""	""	"ARCHITECTURAL DESIGN;  CARBON;  CARBON FIBER REINFORCED PLASTICS;  CONCRETES;  DEFECTS;  FIBER REINFORCED PLASTICS;  FORENSIC ENGINEERING;  FORMS (CONCRETE);  QUALITY CONTROL;  REPAIR;  WALLS (STRUCTURAL PARTITIONS); ADDITIONAL COSTS;  CARBON FIBER REINFORCED POLYMER;  CONSTRUCTION DEFECTS;  INSULATED CONCRETE FORMS;  PERIMETER WALLS;  REINFORCED CONCRETE WALL;  REINFORCEMENT CONSTRUCTION;  REINFORCING BAR; REINFORCED CONCRETE"	"CONFERENCE MATERIAL"	""	"EXPONENT, INC., 420 LEXINGTON AVE., NEW YORK, NY  10170, UNITED STATES"	"FORENSIC ENGINEERING 2015-PERFORMANCE OF THE BUILT ENVIRONMENT - PROCEEDINGS OF THE 7TH CONGRESS ON FORENSIC ENGINEERING"	"Scopus"	"10.1061/9780784479711.052"	""
1978	"A CHRONOLOGY OF HAIRS & FIBERS AS EVIDENCE IN CANADA"	"BROWN SE;ERICKSON NE"	""	""	""	"FIBER;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  HAIR;  LEGAL ASPECT;  SHORT SURVEY"	"ARTICLE"	""	"CENTRE OF FORENSIC SCIENCES, 25 GROSVENOR ST, TORONTO, ON, M7A 2G8, CANADA;CENTRE OF FORENSIC SCIENCES, 25 GROSVENOR ST, TORONTO, ON, M7A 2G8, CANADA"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"Scopus"	"10.1080/00085030.1978.10756860"	""
2013	"A COMPACT OPTICAL PARAMETRIC OSCILLATOR RAMAN MICROSCOPE FOR WAVELENGTH-TUNABLE MULTIANALYTIC MICROANALYSIS"	"LONDERO P;LOMBARDI JR;LEONA M"	"COMPACT RAMAN MICROSCOPE; MULTIANALYTIC MICROANALYSIS; WAVELENGTH; TUNABLE"	"SURFACE-ENHANCED RAMAN; SPECTROSCOPY; FLUORESCENCE; DYES; PIGMENTS"	"COMPACT RAMAN MICROSCOPE;  MULTIANALYTIC MICROANALYSIS;  WAVELENGTH TUNABLE"	""	"ARTICLE"	"LONDERO, P (CORRESPONDING AUTHOR), METROPOLITAN MUSEUM ART, DEPT SCI RES, 1000 5TH AVE, NEW YORK, NY 10028 USA; LONDERO, PABLO, METROPOLITAN MUSEUM ART, DEPT SCI RES, NEW YORK, NY 10028 USA; LOMBARDI, JOHN R, CUNY CITY COLL, DEPT CHEM, NEW YORK, NY 10031 USA; LOMBARDI, JOHN R, CUNY CITY COLL, CASI, NEW YORK, NY 10031 USA"	"DEPARTMENT OF SCIENTIFIC RESEARCH, METROPOLITAN MUSEUM OF ART, 1000 FIFTH AVENUE, NEW YORK, NY 10028-0198, UNITED STATES;DEPARTMENT OF CHEMISTRY, CENTER FOR ANALYSIS OF STRUCTURES AND INTERFACES (CASI), CITY COLLEGE OF NEW YORK, NEW YORK NY 10031, UNITED STATES"	"JOURNAL OF RAMAN SPECTROSCOPY"	"Scopus,WebOfScience"	"10.1002/jrs.4150"	"COMPACT RAMAN MICROSCOPE; MULTIANALYTIC MICROANALYSIS; WAVELENGTH; TUNABLE; COMPACT RAMAN MICROSCOPE;  MULTIANALYTIC MICROANALYSIS;  WAVELENGTH TUNABLE"
1970	"A COMPARISON AND EVALUATION OF TECHNIQUES FOR IDENTIFICATION OF SYNTHETIC FIBERS."	"ROUEN RA;REEVE VC"	""	""	""	"PLASTIC;  POLYMER; ARTICLE;  COMPARATIVE STUDY;  FORENSIC MEDICINE;  GAS CHROMATOGRAPHY;  HUMAN;  INFRARED RADIATION;  POLARIZATION MICROSCOPY;  SPECTROPHOTOMETRY;  TECHNIQUE;  TEXTILE; CHROMATOGRAPHY; GAS;  INFRARED RAYS;  METHODS;  MICROSCOPY; POLARIZATION;  PLASTICS;  POLYMERS;  TEXTILES"	"ARTICLE"	""	""	"JOURNAL OF FORENSIC SCIENCES"	"Scopus"	""	""
2014	"A COMPARISON BETWEEN RIB FRACTURE PATTERNS IN PEN- AND POST-MORTEM COMPRESSIVE INJURY IN A PIGLET MODEL"	"BRADLEY AL;SWAIN MV;WADDELL JN;DAS R;ATHENS J;KIESER JA"	"FORENSIC BIOMECHANICS; SHAKEN BABY SYNDROME; RIB FRACTURE; FOUR-POINT; BENDING; SEM"	"MECHANICAL-PROPERTIES; BONE-COMPOSITION; RESUSCITATION; TOUGHNESS;; DENSITY"	"FORENSIC BIOMECHANICS;  FOUR-POINT BENDING;  RIB FRACTURE;  SEM;  SHAKEN BABY SYNDROME"	"BIOMECHANICS;  BRITTLE FRACTURE;  COMPUTERIZED TOMOGRAPHY;  FRACTURE MECHANICS;  SCANNING ELECTRON MICROSCOPY;  THAWING; ENERGY ABSORPTION CAPABILITY;  FLUIDIC COMPONENTS;  FORENSIC BIOMECHANICS;  FOUR-POINT BENDING;  FRACTURE BEHAVIOUR;  FRACTURE MORPHOLOGY;  RIB FRACTURES;  SHAKEN BABY SYNDROMES; BONE; COLLAGEN FIBER; ANIMAL EXPERIMENT;  ANIMAL MODEL;  ANIMAL TISSUE;  ARTICLE;  BIOMECHANICS;  BONE;  BONE STRENGTH;  COMPARATIVE STUDY;  COMPRESSION;  CONTROLLED STUDY;  ELASTICITY;  ENERGY ABSORPTION;  FLUORESCENCE IMAGING;  FREEZING;  INFANT DISEASE;  MICRO-COMPUTED TOMOGRAPHY;  MORPHOLOGY;  NONHUMAN;  PERIOSTEUM;  PIGLET;  PORCINE MODEL;  PRIORITY JOURNAL;  RIB FRACTURE;  STORAGE;  SWINE;  ANIMAL;  COMPRESSIVE STRENGTH;  FORENSIC SCIENCE;  MATERIALS TESTING;  PATHOPHYSIOLOGY;  RIB;  WEIGHT BEARING; ANIMALS;  BIOMECHANICAL PHENOMENA;  FORENSIC SCIENCES;  RIBS;  WEIGHT-BEARING"	"ARTICLE"	"KIESER, JA (CORRESPONDING AUTHOR), UNIV OTAGO, FAC DENT, SIR JOHN WALSH RES INST, DUNEDIN, NEW ZEALAND; BRADLEY, AMANDA L; SWAIN, MICHAEL V; WADDELL, J NEIL; KIESER, JULES A, UNIV OTAGO, FAC DENT, SIR JOHN WALSH RES INST, DUNEDIN, NEW ZEALAND; DAS, RAJ, UNIV AUCKLAND, DEPT MECH ENGN, AUCKLAND 1, NEW ZEALAND; ATHENS, JOSIE, UNIV OTAGO, DUNEDIN SCH MED, DEPT PREVENT \& SOCIAL MED, DUNEDIN, NEW ZEALAND"	"SIR JOHN WALSH RESEARCH INSTITUTE, FACULTY OF DENTISTRY, UNIVERSITY OF OTAGO, DUNEDIN, NEW ZEALAND;DEPARTMENT OF MECHANICAL ENGINEERING, UNIVERSITY OF AUCKLAND, AUCKLAND, NEW ZEALAND;DEPARTMENT OF PREVENTIVE AND SOCIAL MEDICINE, DUNEDIN SCHOOL OF MEDICINE, UNIVERSITY OF OTAGO, DUNEDIN, NEW ZEALAND"	"JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS"	"Scopus,WebOfScience"	"10.1016/j.jmbbm.2013.06.004"	"FORENSIC BIOMECHANICS; SHAKEN BABY SYNDROME; RIB FRACTURE; FOUR-POINT; BENDING; SEM; FORENSIC BIOMECHANICS;  FOUR-POINT BENDING;  RIB FRACTURE;  SEM;  SHAKEN BABY SYNDROME"
2007	"A COMPARISON OF DEVELOPED AND VALIDATED CHROMATOGRAPHIC METHODS (HPLC, GC-MS) FOR DETERMINATION OF DELTA-9-TETRAHYDROCANNABINOL (9- THC) AND DELTA-9-TETRAHYDROCANNABINOLIC ACID (9-THCA-A) IN HEMP [PORWNANIE OPRACOWANYCH I ZWALIDOWANYCH CHROMATOGRAFICZNYCH METOD (HPLC, GC-MS) OZNACZANIA DELTA-9-TETRAHYDROKANNABINOLU (9-THC) I KWASU DELTA-9-TETRAHYDROKANNABINOLOWEGO (9-THCA-A) W ZIELU KONOPI]"	"STANASZEK R;ZUBA D"	""	""	"DELTA-9- TETRAHYDROCANNABINOLIC ACID;  DELTA-9-TETRAHYDROCANNABINOL;  FIBRE CANNABIS;  HEMP"	"ACETONITRILE;  CANNABIS;  DRONABINOL;  METHANOL;  PHOSPHORIC ACID;  TETRAHYDROCANNABINOLIC ACID;  WATER; ACCURACY;  ARTICLE;  ASSAY;  CALIBRATION;  CORRELATION COEFFICIENT;  ELUTION;  HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;  INTERMETHOD COMPARISON;  MASS FRAGMENTOGRAPHY;  QUANTITATIVE ANALYSIS;  SEPARATION TECHNIQUE;  VALIDATION PROCESS"	"ARTICLE"	""	"INSTITUTE OF FORENSIC RESEARCH, CRACOW, POLAND;INSTYTUT EKSPERTYZ SADOWYCH, UL. WESTERPLATTE 9, PL 31-033 KRAKW, POLAND"	"Z ZAGADNIEN NAUK SADOWYCH"	"Scopus"	""	"DELTA-9- TETRAHYDROCANNABINOLIC ACID;  DELTA-9-TETRAHYDROCANNABINOL;  FIBRE CANNABIS;  HEMP"
2012	"A COMPARISON OF DNA COLLECTION AND RETRIEVAL FROM TWO SWAB TYPES (COTTON AND NYLON FLOCKED SWAB) WHEN PROCESSED USING THREE QIAGEN EXTRACTION METHODS"	"BROWNLOW RJ;DAGNALL KE;AMES CE"	""	""	"BIOROBOT EZ1;  COTTON SWAB;  DNA EXTRACTION;  FLOCKED SWAB;  FORENSIC SCIENCE;  NYLON SWAB;  QIAAMP DNA INVESTIGATOR KIT;  QIACUBE"	"DNA;  NYLON; ANALYSIS OF VARIANCE;  ARTICLE;  CHEMISTRY;  COMPARATIVE STUDY;  COTTON;  DNA FINGERPRINTING;  HUMAN;  INSTRUMENTATION;  ISOLATION AND PURIFICATION;  LABORATORY DIAGNOSIS;  METHODOLOGY;  REAL TIME POLYMERASE CHAIN REACTION;  SALIVA;  COTTON FIBER;  DNA;  HUMANS;  NYLONS;  REAL-TIME POLYMERASE CHAIN REACTION;  SPECIMEN HANDLING"	"ARTICLE"	""	"DIRECTORATE OF FORENSIC SERVICES, METROPOLITAN POLICE SERVICE, LONDON SW1H 0BG, UNITED KINGDOM"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus"	"10.1111/j.1556-4029.2011.02022.x"	"BIOROBOT EZ1;  COTTON SWAB;  DNA EXTRACTION;  FLOCKED SWAB;  FORENSIC SCIENCE;  NYLON SWAB;  QIAAMP DNA INVESTIGATOR KIT;  QIACUBE"
2006	"A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER"	"SERMIER FM;MASSONNET G;BUZZINI P;FORTINI A;GASON F;DE WAEL K;ROVAS P"	""	""	"AUTOMATIC SEARCH;  FIBRE FINDER;  FIBRES;  FIBRES RECOVERY"	"ARTICLE;  FIBER;  FORENSIC IDENTIFICATION;  FORENSIC MEDICINE;  INTERMETHOD COMPARISON;  LABORATORY APPARATUS; EQUIPMENT AND SUPPLIES;  LABORATORY AUTOMATION;  LABORATORY TEST;  PARAMETER;  PRIORITY JOURNAL"	"ARTICLE"	""	"ECOLE DE SCIENCES CRIMINELLES, INSTITUT DE POLICE SCIENTIFIQUE, UNIVERSITY OF LAUSANNE, CH-1015 DORIGNY, SWITZERLAND;INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE, MINISTRE DE LA JUSTICE, CHAUSSE DE VILVORDE 98-100, B-1120 BRUXELLES, BELGIUM;KESKUSRIKOSPOLIISI, NATIONAL BUREAU OF INVESTIGATION, JOKINIEMENKUJA 4, FIN-01301 VANTAA, FINLAND"	"FORENSIC SCIENCE INTERNATIONAL"	"Scopus"	"10.1016/j.forsciint.2005.08.015"	"AUTOMATIC SEARCH;  FIBRE FINDER;  FIBRES;  FIBRES RECOVERY"
2018	"A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING"	"MACPHEE N;SAVAGE A;NOTON N;BEATTIE E;MILNE L;FRASER J"	"ARROW; PENETRATION; DAMAGE; CLOTHING; TISSUES; BONES"	"WOUNDS; BOW"	"ARROW;  BONES;  CLOTHING;  DAMAGE;  PENETRATION;  TISSUES"	"GELATIN; ARROW;  ARTICLE;  BALLISTICS;  BLUNT TRAUMA;  BONE MATRIX;  COMPARATIVE STUDY;  FEMUR;  PENETRATING TRAUMA;  RIB;  SOFT TISSUE;  SOFT TISSUE INJURY;  SPINE;  SURFACE AREA;  WEAPON;  X RAY;  X-RAY COMPUTED TOMOGRAPHY;  BIOLOGICAL MODEL;  BONE;  CLOTHING;  DIAGNOSTIC IMAGING;  EQUIPMENT DESIGN;  FORENSIC MEDICINE;  HUMAN;  INJURIES;  MICRO-COMPUTED TOMOGRAPHY;  PATHOLOGY;  THREE DIMENSIONAL IMAGING; BONE AND BONES;  GELATIN;  HUMANS;  IMAGING; THREE-DIMENSIONAL;  MODELS; BIOLOGICAL;  WEAPONS;  WOUNDS; PENETRATING;  X-RAY MICROTOMOGRAPHY"	"ARTICLE"	"FRASER, J (CORRESPONDING AUTHOR), ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND; MACPHEE, NICHOLE; SAVAGE, ANNE; NOTON, NIKOLAS; BEATTIE, EILIDH; MILNE, LOUISE; FRASER, JOANNA, ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND"	"ABERTAY UNIVERSITY, 40 BELL STREET, DUNDEE, DD1 1HG, UNITED KINGDOM"	"SCIENCE AND JUSTICE"	"Scopus,WebOfScience"	"10.1016/j.scijus.2017.11.005"	"ARROW; PENETRATION; DAMAGE; CLOTHING; TISSUES; BONES; ARROW;  BONES;  CLOTHING;  DAMAGE;  PENETRATION;  TISSUES"
2014	"A COMPARISON OF THE USE OF VACUUM METAL DEPOSITION VERSUS CYANOACRYLATE FUMING FOR VISUALISATION OF FINGERMARKS AND GRAB IMPRESSIONS ON FABRICS"	"FRASER J;DEACON P;BLEAY S;BREMNER DH"	""	""	"CYANOACRYLATE FUMING;  FABRICS;  FINGERMARKS;  PALMAR FLEXION CREASES;  RIDGE DETAIL;  VACUUM METAL DEPOSITION"	"CYANOACRYLATE;  ESTER DERIVATIVE;  GOLD;  NYLON;  POLYCOTTON;  POLYESTER;  UNCLASSIFIED DRUG;  ZINC; ADULT;  ARTICLE;  CLOTHING;  CONTROLLED STUDY;  COTTON;  CYANOACRYLATE FUMING;  FABRIC;  FEMALE;  FINGER DERMATOGLYPHICS;  HUMAN;  HUMAN EXPERIMENT;  HUMIDITY;  INVESTIGATIVE PROCEDURES;  MALE;  MIDDLE AGED;  NORMAL HUMAN;  SAMPLE;  SURFACE PROPERTY;  VACUUM METAL DEPOSITION; CYANOACRYLATE FUMING;  FABRICS;  FINGERMARKS;  PALMAR FLEXION CREASES;  RIDGE DETAIL; COTTON FIBER;  CYANOACRYLATES;  DERMATOGLYPHICS;  HUMANS;  NYLONS;  POLYESTERS;  VACUUM;  VOLATILIZATION"	"ARTICLE"	""	"SCHOOL OF SCIENCE, ENGINEERING AND TECHNOLOGY, ABERTAY UNIVERSITY, 40 BELL STREET, DUNDEE DD1 1HG, UNITED KINGDOM;FORENSIC SERVICES, SCOTTISH POLICE SERVICES AUTHORITY, RUSHTON COURT, 3 WEST VICTORIA DOCK RD, DD1 3JT, UNITED KINGDOM;HOSDB, WOODCOCK HILL, SANDRIDGE, HERTS AL4 9HQ, UNITED KINGDOM"	"SCIENCE AND JUSTICE"	"Scopus"	"10.1016/j.scijus.2013.11.005"	"CYANOACRYLATE FUMING;  FABRICS;  FINGERMARKS;  PALMAR FLEXION CREASES;  RIDGE DETAIL;  VACUUM METAL DEPOSITION"
2018	"A COMPLEMENTARY FORENSIC `PROTEO-GENOMIC' APPROACH FOR THE DIRECT IDENTIFICATION OF BIOLOGICAL FLUID TRACES UNDER FINGERNAILS"	"KAMANNA S;HENRY J;VOELCKER NH;LINACRE A;PAUL KIRKBRIDE K;KAMANNA S;HENRY J;VOELCKER NH;LINACRE A;KIRKBRIDE KP"	"FORENSIC SCIENCE; HAEMOGLOBIN; VAGINAL FLUID; MALDI-TOF MS"	"FLIGHT MASS-SPECTROMETRY; CERVICAL-VAGINAL FLUID; DIRECT PCR; STAINS;; BLOOD"	"FORENSIC SCIENCE;  HAEMOGLOBIN;  MALDI-TOF MS;  VAGINAL FLUID"	"BODY FLUIDS;  CRIME;  FORENSIC SCIENCE;  INDUCTIVELY COUPLED PLASMA;  MASS SPECTROMETRY;  POLYMERASE CHAIN REACTION;  PROTEINS; ANALYTICAL STRATEGY;  COMPLEMENTARY TECHNIQUES;  COMPREHENSIVE EXAMINATION;  DIRECT IDENTIFICATIONS;  DIRECT MASS SPECTROMETRY;  HAEMOGLOBINS;  MALDI TOF MS;  TANDEM MASS SPECTROMETRY TECHNIQUES; BIOMARKERS; BIOLOGICAL MARKER;  CRNN PROTEIN; HUMAN;  MEMBRANE PROTEIN;  TUMOR PROTEIN; ANIMAL;  BLOOD;  BODY FLUID;  CHEMISTRY;  ELECTROSPRAY MASS SPECTROMETRY;  FEMALE;  FORENSIC GENETICS;  HUMAN;  HUMAN GENOME;  LIMIT OF DETECTION;  LIQUID CHROMATOGRAPHY;  MATRIX-ASSISTED LASER DESORPTION-IONIZATION MASS SPECTROMETRY;  NAIL;  PROTEOMICS;  TANDEM MASS SPECTROMETRY;  VAGINA; ANIMALS;  BIOMARKERS;  BODY FLUIDS;  CHROMATOGRAPHY; LIQUID;  GENOME;  HUMANS;  MEMBRANE PROTEINS;  NAILS;  NEOPLASM PROTEINS;  SPECTROMETRY; MASS; ELECTROSPRAY IONIZATION; MATRIX-ASSISTED LASER DESORPTION-IONIZATION"	"ARTICLE"	"KIRKBRIDE, KP (CORRESPONDING AUTHOR), FLINDERS UNIV S AUSTRALIA, COLL SCI \& ENGN, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA; KAMANNA, SATHISHA; LINACRE, ADRIAN; KIRKBRIDE, K PAUL, FLINDERS UNIV S AUSTRALIA, COLL SCI \& ENGN, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA; HENRY, JULIANNE, FORENS SCI SA, GPO BOX 2790, ADELAIDE, SA 5001, AUSTRALIA; VOELCKER, NICO, MONASH UNIV, MELBOURNE CTR NANOFABRICAT, CLAYTON, VIC 3168, AUSTRALIA"	"COLLEGE OF SCIENCE AND ENGINEERING, FLINDERS UNIVERSITY, GPO BOX 2100, ADELAIDE, SA  5001, AUSTRALIA;FORENSIC SCIENCE SA, GPO BOX 2790, ADELAIDE, SA  5001, AUSTRALIA;MELBOURNE CENTRE FOR NANOFABRICATION, MONASH UNIVERSITY, CLAYTON, VIC  3168, AUSTRALIA"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"Scopus,WebOfScience"	"10.1007/s00216-018-1223-3"	"FORENSIC SCIENCE; HAEMOGLOBIN; VAGINAL FLUID; MALDI-TOF MS; FORENSIC SCIENCE;  HAEMOGLOBIN;  MALDI-TOF MS;  VAGINAL FLUID"
1999	"A COMPREHENSIVE SAMPLE PREPARATION SCHEME FOR ACCELERANTS IN SUSPECT ARSON CASES"	"REN Q;BERTSCH W;REN QL;BERTSCH W"	"FORENSIC SCIENCE; ARSON; FIRE DEBRIS; SAMPLE PREPARATION; SOLID PHASE; MICRO EXTRACTION; ACCELERANTS; GAS CHROMATOGRAPHY/MASS SPECTROMETRY"	"SOLID-PHASE MICROEXTRACTION; PASSIVE DIFFUSION; DEBRIS; EXTRACTION;; RECOVERY; CARBON; SPME"	"ACCELERANTS;  ARSON;  FIRE DEBRIS;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY/MASS SPECTROMETRY;  SAMPLE PREPARATION;  SOLID PHASE MICRO EXTRACTION"	"CHARCOAL;  DIESEL FUEL;  DIMETICONE;  METHANOL;  SOLVENT; ADSORPTION;  ARSON;  ARTICLE;  FIRE;  FORENSIC IDENTIFICATION;  GAS CHROMATOGRAPHY;  MASS SPECTROMETRY;  PRIORITY JOURNAL;  SOLID PHASE EXTRACTION"	"ARTICLE"	"BERTSCH, W (CORRESPONDING AUTHOR), UNIV ALABAMA, JOURNAL HIGH RESOLUTION CHROMATOG, DEPT CHEM, LLOYD HALL,BOX 870336, TUSCALOOSA, AL 35487 USA; UNIV ALABAMA, JOURNAL HIGH RESOLUTION CHROMATOG, DEPT CHEM, TUSCALOOSA, AL 35487 USA"	"UNIVERSITY OF ALABAMA, DEPARTMENT OF CHEMISTRY, TUSCALOOSA, AL 35487-0336, UNITED STATES;JNL. OF HIGH RESOLUTION CHROM., LLOYD HALL, UNIVERSITY OF ALABAMA, TUSCALOOSA, AL 35487-0336, UNITED STATES"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1520/jfs14501j"	"FORENSIC SCIENCE; ARSON; FIRE DEBRIS; SAMPLE PREPARATION; SOLID PHASE; MICRO EXTRACTION; ACCELERANTS; GAS CHROMATOGRAPHY/MASS SPECTROMETRY; ACCELERANTS;  ARSON;  FIRE DEBRIS;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY/MASS SPECTROMETRY;  SAMPLE PREPARATION;  SOLID PHASE MICRO EXTRACTION"
1998	"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?"	"BIERMANN TW;GRIEVE MC"	"TEXTILES; CLOTHING; FIBRE COMPOSITION; FREQUENCY; DATA BANK; REPRESENTATIVITY"	""	"CLOTHING;  DATA BANK;  FIBRE COMPOSITION;  FREQUENCY;  REPRESENTATIVITY;  TEXTILES"	"ARTICLE;  DATA BASE;  PRIORITY JOURNAL;  TEXTILE"	"ARTICLE"	"BIERMANN, TW (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, THAERSTR 11, D-65193 WIESBADEN, GERMANY; BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, D-65193 WIESBADEN, GERMANY"	"KT 33 TEXTILKUNDE, BUNDESKRIMINALAMT, THAERSTRASSE 11, 65193 WIESBADEN, GERMANY"	"FORENSIC SCIENCE INTERNATIONAL"	"Scopus,WebOfScience"	"10.1016/S0379-0738(98)00090-5"	"TEXTILES; CLOTHING; FIBRE COMPOSITION; FREQUENCY; DATA BANK; REPRESENTATIVITY; CLOTHING;  DATA BANK;  FIBRE COMPOSITION;  FREQUENCY;  REPRESENTATIVITY;  TEXTILES"
1996	"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION"	"BIERMANN TW;GRIEVE MC"	""	""	"DATA BANK;  FIBRE COMPOSITION;  FIBRE FREQUENCY;  TEXTILES"	"ARTICLE;  CLOTHING;  COMPUTER PROGRAM;  DATA BASE;  FORENSIC SCIENCE;  GERMANY;  INFORMATION PROCESSING;  PRIORITY JOURNAL;  TEXTILE"	"ARTICLE"	""	"KT 33 TEXTILKUNDE, BUNDESKRIMINALAMT, THAERSTRASSE 11, 65193 WIESBADEN, GERMANY"	"FORENSIC SCIENCE INTERNATIONAL"	"Scopus"	"10.1016/0379-0738(95)01856-5"	"DATA BANK;  FIBRE COMPOSITION;  FIBRE FREQUENCY;  TEXTILES"
1988	"A COMPUTERIZED DATABASE FOR FORENSIC TEXTILE FIBRES"	"CARROLL GR;LALONDE WC;GAUDETTE BD;HAWLEY SL;HVBERT RS"	""	""	""	"CANADA;  COMPUTER;  COMPUTER ANALYSIS;  DATA BASE;  FIBER;  FORENSIC IDENTIFICATION;  NONHUMAN;  ORGANIZATION AND MANAGEMENT;  TEXTILE"	"ARTICLE"	""	"RCMP CENTRAL FORENSIC LABORATORY, BOX 8885, OTTAWA, ON, K1G 3M8, CANADA;DIR. OF INFORMATICS, RCMP, OTTAWA, CANADA;DEPT. OF BIOCHEMISTRY, UNIV. OF WATERLOO, WATERLOO, ON, CANADA"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"Scopus"	"10.1080/00085030.1988.10756956"	""
1993	"A CYTOCHEMICAL METHOD FOR THE IDENTIFICATION OF ISCHEMIC AND NECROTIC MYOCARDIAL FIBRES"	"FELSZEGHY E"	""	""	"EXPERIMENTAL MYOCARDIAL INFARCTION;  ISCHEMIA;  NECROSIS;  NICKEL CYTOCHEMISTRY"	"ANIMAL EXPERIMENT;  ANIMAL MODEL;  ANIMAL TISSUE;  ARTICLE;  CYTOCHEMISTRY;  DOG;  HEART INFARCTION;  NONHUMAN;  PRIORITY JOURNAL; ANIMAL;  AUTOLYSIS;  DIAGNOSIS; DIFFERENTIAL;  DISEASE MODELS;  DOGS;  DRUG COMBINATIONS;  FEMALE;  FORENSIC MEDICINE;  HISTOCYTOCHEMISTRY;  MALE;  MYOCARDIAL INFARCTION;  NECROSIS;  NICKEL;  OXIMES"	"ARTICLE"	""	"INSTITUTE OF FORENSIC MEDICINE, SEMMELWEIS UNIVERSITY OF MEDICINE, LLI T 93, BUDAPEST, H-1450, HUNGARY"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"Scopus"	"10.1007/BF01225237"	"EXPERIMENTAL MYOCARDIAL INFARCTION;  ISCHEMIA;  NECROSIS;  NICKEL CYTOCHEMISTRY"
