"TI"	"PY"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"DE"
"A CASE OF CONTESTED CREMAINS ANALYZED THROUGH METRIC AND CHEMICAL COMPARISON"	2015	"BARTELINK EJ;SHOLTS SB;MILLIGAN CF;VAN DEEST TL;WRMLNDER SKTS;MILLIGAN TL;WARMLANDER SKTS"	"FORENSIC SCIENCE; FORENSIC ANTHROPOLOGY; CREMAINS; BURNED BONE; X-RAY; DIFFRACTION; SCANNING ELECTRON MICROSCOPY"	"ELECTRON-MICROSCOPE OBSERVATIONS; X-RAY-DIFFRACTION; ELEMENTAL ANALYSIS;; CLASSIFY LEGITIMATE; ICP-OES; BONE; IDENTIFICATION; SPECTROSCOPY"	"BURNED BONE;  CREMAINS;  FORENSIC ANTHROPOLOGY;  FORENSIC SCIENCE;  SCANNING ELECTRON MICROSCOPY;  X-RAY DIFFRACTION"	"ELEMENT;ANALYSIS;BUILDING MATERIAL;CASE REPORT;FORENSIC SCIENCE;FRAUD;HUMAN;MALE;METRIC SYSTEM;MIDDLE AGED;POSTHUMOUS CARE;SCANNING ELECTRON MICROSCOPY;X RAY DIFFRACTION;CONSTRUCTION MATERIALS;CREMATION;ELEMENTS;FORENSIC SCIENCES;HUMANS;MICROSCOPY;ELECTRON;SCANNING;X-RAY DIFFRACTION"	"WARMLANDER, SKTS (CORRESPONDING AUTHOR), STOCKHOLM UNIV, DEPT BIOCHEM \& BIOPHYS, S-10691 STOCKHOLM, SWEDEN; BARTELINK, ERIC J; MILLIGAN, COLLEEN F, CALIF STATE UNIV CHICO, HUMAN IDENTIFICAT LAB, DEPT ANTHROPOL, CHICO, CA 95929 USA; SHOLTS, SABRINA B, SMITHSONIAN INST, NATL MUSEUM NAT HIST, DEPT ANTHROPOL, WASHINGTON, DC 20560 USA; VAN DEEST, TRACI L, UNIV FLORIDA, DEPT ANTHROPOL, CA POUND HUMAN IDENTIFICAT LAB, GAINESVILLE, FL 32611 USA; WARMLANDER, SEBASTIAN K T S, STOCKHOLM UNIV, DEPT BIOCHEM \& BIOPHYS, S-10691 STOCKHOLM, SWEDEN; WARMLANDER, SEBASTIAN K T S, LINKOPING UNIV, DIV COMMERCIAL \& BUSINESS LAW, S-58183 LINKOPING, SWEDEN"	"HUMAN IDENTIFICATION LABORATORY,DEPARTMENT OF ANTHROPOLOGY,CALIFORNIA STATE UNIVERSITY-CHICO,CHICO,CA,UNITED STATES; DEPARTMENT OF ANTHROPOLOGY,NATIONAL MUSEUM OF NATURAL HISTORY,SMITHSONIAN INSTITUTION,WASHINGTON,DC,C.A. POUND HUMAN IDENTIFICATION LAB,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,UNITED STATES; DEPARTMENT OF BIOCHEMISTRY AND BIOPHYSICS,STOCKHOLM UNIVERSITY,STOCKHOLM,106 91,SWEDEN; DIVISION OF COMMERCIAL AND BUSINESS LAW,LINKPING UNIVERSITY,LINKPING,581 83,SWEDEN"	"HUMAN IDENTIFICATION LABORATORY,DEPARTMENT OF ANTHROPOLOGY,CALIFORNIA STATE UNIVERSITY-CHICO,CHICO,CA,UNITED STATES; DEPARTMENT OF ANTHROPOLOGY,NATIONAL MUSEUM OF NATURAL HISTORY,SMITHSONIAN INSTITUTION,WASHINGTON,DC,C.A. POUND HUMAN IDENTIFICATION LAB,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,UNITED STATES; DEPARTMENT OF BIOCHEMISTRY AND BIOPHYSICS,STOCKHOLM UNIVERSITY,STOCKHOLM,106 91,SWEDEN; DIVISION OF COMMERCIAL AND BUSINESS LAW,LINKPING UNIVERSITY,LINKPING,581 83,SWEDEN"	"10.1111/1556-4029.12734"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FORENSIC ANTHROPOLOGY;CREMAINS;BURNED BONE;X-RAY;DIFFRACTION;SCANNING ELECTRON MICROSCOPY;X-RAY DIFFRACTION"
"A CASE REPORT ASSOCIATING A CORRECTABLE TYPEWRITER FILM RIBBON WITH QUESTIONED TYPEWRITTEN DOCUMENTS"	1996	"WARIAS C"	""	""	""	"ARTICLE;COMPARATIVE STUDY;DOCUMENT EXAMINATION;FIBER;FILM;FORENSIC SCIENCE;FORGERY;INSURANCE;LEGAL LIABILITY;PAPER;PRINTING"	NA	"CENTRE OF FORENSIC SCIENCES,25 GROSVENOR STREET,TORONTO,ON,M7A 2G8,CANADA"	"CENTRE OF FORENSIC SCIENCES,25 GROSVENOR STREET,TORONTO,ON,M7A 2G8,CANADA"	"10.1080/00085030.1996.10757053"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"ARTICLE"	"Scopus"	""
"A CASE STUDY ON THE CONSTRUCTION DEFECTS OF REINFORCED CONCRETE WALLS WITH INSULATED CONCRETE FORMS"	2015	"ERDEM I;PERAZA DB"	""	""	""	"ARCHITECTURAL DESIGN;CARBON;CARBON FIBER REINFORCED PLASTICS;CONCRETES;DEFECTS;FIBER REINFORCED PLASTICS;FORENSIC ENGINEERING;FORMS (CONCRETE);QUALITY CONTROL;REPAIR;WALLS (STRUCTURAL PARTITIONS);ADDITIONAL COSTS;CARBON FIBER REINFORCED POLYMER;CONSTRUCTION DEFECTS;INSULATED CONCRETE FORMS;PERIMETER WALLS;REINFORCED CONCRETE WALL;REINFORCEMENT CONSTRUCTION;REINFORCING BAR;REINFORCED CONCRETE"	NA	"EXPONENT,INC.,420 LEXINGTON AVE.,NEW YORK,NY  10170,UNITED STATES"	"EXPONENT,INC.,420 LEXINGTON AVE.,NEW YORK,NY  10170,UNITED STATES"	"10.1061/9780784479711.052"	"FORENSIC ENGINEERING 2015: PERFORMANCE OF THE BUILT ENVIRONMENT - PROCEEDINGS OF THE 7TH CONGRESS ON FORENSIC ENGINEERING"	"CONFERENCE PAPER"	"Scopus"	""
"A CHRONOLOGY OF HAIRS & FIBERS AS EVIDENCE IN CANADA"	1978	"BROWN SE;ERICKSON NE"	""	""	""	"FIBER;FORENSIC MEDICINE;FORENSIC SCIENCE;HAIR;LEGAL ASPECT;SHORT SURVEY"	NA	"CENTRE OF FORENSIC SCIENCES,25 GROSVENOR ST,TORONTO,ON,M7A 2G8,CANADA; CENTRE OF FORENSIC SCIENCES,CANADA"	"CENTRE OF FORENSIC SCIENCES,25 GROSVENOR ST,TORONTO,ON,M7A 2G8,CANADA; CENTRE OF FORENSIC SCIENCES,CANADA"	"10.1080/00085030.1978.10756860"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"ARTICLE"	"Scopus"	""
"A COMPACT OPTICAL PARAMETRIC OSCILLATOR RAMAN MICROSCOPE FOR WAVELENGTH-TUNABLE MULTIANALYTIC MICROANALYSIS"	2013	"LONDERO P;LOMBARDI JR;LEONA M"	"COMPACT RAMAN MICROSCOPE; MULTIANALYTIC MICROANALYSIS; WAVELENGTH; TUNABLE"	"SURFACE-ENHANCED RAMAN; SPECTROSCOPY; FLUORESCENCE; DYES; PIGMENTS"	"COMPACT RAMAN MICROSCOPE;  MULTIANALYTIC MICROANALYSIS;  WAVELENGTH TUNABLE"	"NA"	"LONDERO, P (CORRESPONDING AUTHOR), METROPOLITAN MUSEUM ART, DEPT SCI RES, 1000 5TH AVE, NEW YORK, NY 10028 USA; LONDERO, PABLO, METROPOLITAN MUSEUM ART, DEPT SCI RES, NEW YORK, NY 10028 USA; LOMBARDI, JOHN R, CUNY CITY COLL, DEPT CHEM, NEW YORK, NY 10031 USA; LOMBARDI, JOHN R, CUNY CITY COLL, CASI, NEW YORK, NY 10031 USA"	"DEPARTMENT OF SCIENTIFIC RESEARCH,METROPOLITAN MUSEUM OF ART,1000 FIFTH AVENUE,NEW YORK,NY 10028-0198,UNITED STATES; DEPARTMENT OF CHEMISTRY,CENTER FOR ANALYSIS OF STRUCTURES AND INTERFACES (CASI),CITY COLLEGE OF NEW YORK,NEW YORK NY 10031,UNITED STATES"	"DEPARTMENT OF SCIENTIFIC RESEARCH,METROPOLITAN MUSEUM OF ART,1000 FIFTH AVENUE,NEW YORK,NY 10028-0198,UNITED STATES; DEPARTMENT OF CHEMISTRY,CENTER FOR ANALYSIS OF STRUCTURES AND INTERFACES (CASI),CITY COLLEGE OF NEW YORK,NEW YORK NY 10031,UNITED STATES"	"10.1002/jrs.4150"	"JOURNAL OF RAMAN SPECTROSCOPY"	"ARTICLE"	"Scopus,WebOfScience"	"COMPACT RAMAN MICROSCOPE;MULTIANALYTIC MICROANALYSIS;WAVELENGTH;TUNABLE;WAVELENGTH TUNABLE"
"A COMPARISON AND EVALUATION OF TECHNIQUES FOR IDENTIFICATION OF SYNTHETIC FIBERS."	1970	"ROUEN RA;REEVE VC"	""	""	""	"PLASTIC;POLYMER;ARTICLE;COMPARATIVE STUDY;FORENSIC MEDICINE;GAS CHROMATOGRAPHY;HUMAN;INFRARED RADIATION;POLARIZATION MICROSCOPY;SPECTROPHOTOMETRY;TECHNIQUE;TEXTILE;CHROMATOGRAPHY;GAS;INFRARED RAYS;METHODS;MICROSCOPY;POLARIZATION;PLASTICS;POLYMERS;TEXTILES"	NA	"NA"	"NA"	""	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	""
"A COMPARISON BETWEEN RIB FRACTURE PATTERNS IN PEN- AND POST-MORTEM COMPRESSIVE INJURY IN A PIGLET MODEL"	2014	"BRADLEY AL;SWAIN MV;WADDELL JN;DAS R;ATHENS J;KIESER JA"	"FORENSIC BIOMECHANICS; SHAKEN BABY SYNDROME; RIB FRACTURE; FOUR-POINT; BENDING; SEM"	"MECHANICAL-PROPERTIES; BONE-COMPOSITION; RESUSCITATION; TOUGHNESS;; DENSITY"	"FORENSIC BIOMECHANICS;  FOUR-POINT BENDING;  RIB FRACTURE;  SEM;  SHAKEN BABY SYNDROME"	"BIOMECHANICS;BRITTLE FRACTURE;COMPUTERIZED TOMOGRAPHY;FRACTURE MECHANICS;SCANNING ELECTRON MICROSCOPY;THAWING;ENERGY ABSORPTION CAPABILITY;FLUIDIC COMPONENTS;FORENSIC BIOMECHANICS;FOUR-POINT BENDING;FRACTURE BEHAVIOUR;FRACTURE MORPHOLOGY;RIB FRACTURES;SHAKEN BABY SYNDROMES;BONE;COLLAGEN FIBER;ANIMAL EXPERIMENT;ANIMAL MODEL;ANIMAL TISSUE;ARTICLE;BONE STRENGTH;COMPARATIVE STUDY;COMPRESSION;CONTROLLED STUDY;ELASTICITY;ENERGY ABSORPTION;FLUORESCENCE IMAGING;FREEZING;INFANT DISEASE;MICRO-COMPUTED TOMOGRAPHY;MORPHOLOGY;NONHUMAN;PERIOSTEUM;PIGLET;PORCINE MODEL;PRIORITY JOURNAL;RIB FRACTURE;STORAGE;SWINE;ANIMAL;COMPRESSIVE STRENGTH;FORENSIC SCIENCE;MATERIALS TESTING;PATHOPHYSIOLOGY;RIB;WEIGHT BEARING;ANIMALS;BIOMECHANICAL PHENOMENA;FORENSIC SCIENCES;RIBS;WEIGHT-BEARING"	"KIESER, JA (CORRESPONDING AUTHOR), UNIV OTAGO, FAC DENT, SIR JOHN WALSH RES INST, DUNEDIN, NEW ZEALAND; BRADLEY, AMANDA L; SWAIN, MICHAEL V; WADDELL, J NEIL; KIESER, JULES A, UNIV OTAGO, FAC DENT, SIR JOHN WALSH RES INST, DUNEDIN, NEW ZEALAND; DAS, RAJ, UNIV AUCKLAND, DEPT MECH ENGN, AUCKLAND 1, NEW ZEALAND; ATHENS, JOSIE, UNIV OTAGO, DUNEDIN SCH MED, DEPT PREVENT \& SOCIAL MED, DUNEDIN, NEW ZEALAND"	"SIR JOHN WALSH RESEARCH INSTITUTE,FACULTY OF DENTISTRY,UNIVERSITY OF OTAGO,DUNEDIN,NEW ZEALAND; DEPARTMENT OF MECHANICAL ENGINEERING,UNIVERSITY OF AUCKLAND,AUCKLAND,NEW ZEALAND; DEPARTMENT OF PREVENTIVE AND SOCIAL MEDICINE,DUNEDIN SCHOOL OF MEDICINE,NEW ZEALAND"	"SIR JOHN WALSH RESEARCH INSTITUTE,FACULTY OF DENTISTRY,UNIVERSITY OF OTAGO,DUNEDIN,NEW ZEALAND; DEPARTMENT OF MECHANICAL ENGINEERING,UNIVERSITY OF AUCKLAND,AUCKLAND,NEW ZEALAND; DEPARTMENT OF PREVENTIVE AND SOCIAL MEDICINE,DUNEDIN SCHOOL OF MEDICINE,NEW ZEALAND"	"10.1016/j.jmbbm.2013.06.004"	"JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC BIOMECHANICS;SHAKEN BABY SYNDROME;RIB FRACTURE;FOUR-POINT;BENDING;SEM;FOUR-POINT BENDING"
"A COMPARISON OF DEVELOPED AND VALIDATED CHROMATOGRAPHIC METHODS (HPLC, GC-MS) FOR DETERMINATION OF DELTA-9-TETRAHYDROCANNABINOL (9- THC) AND DELTA-9-TETRAHYDROCANNABINOLIC ACID (9-THCA-A) IN HEMP [PORWNANIE OPRACOWANYCH I ZWALIDOWANYCH CHROMATOGRAFICZNYCH METOD (HPLC, GC-MS) OZNACZANIA DELTA-9-TETRAHYDROKANNABINOLU (9-THC) I KWASU DELTA-9-TETRAHYDROKANNABINOLOWEGO (9-THCA-A) W ZIELU KONOPI]"	2007	"STANASZEK R;ZUBA D"	""	""	"DELTA-9- TETRAHYDROCANNABINOLIC ACID;  DELTA-9-TETRAHYDROCANNABINOL;  FIBRE CANNABIS;  HEMP"	"ACETONITRILE;CANNABIS;DRONABINOL;METHANOL;PHOSPHORIC ACID;TETRAHYDROCANNABINOLIC ACID;WATER;ACCURACY;ARTICLE;ASSAY;CALIBRATION;CORRELATION COEFFICIENT;ELUTION;HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;INTERMETHOD COMPARISON;MASS FRAGMENTOGRAPHY;QUANTITATIVE ANALYSIS;SEPARATION TECHNIQUE;VALIDATION PROCESS"	NA	"INSTITUTE OF FORENSIC RESEARCH,CRACOW,POLAND; INSTYTUT EKSPERTYZ SADOWYCH,UL. WESTERPLATTE 9,PL 31-033 KRAKW,POLAND"	"INSTITUTE OF FORENSIC RESEARCH,CRACOW,POLAND; INSTYTUT EKSPERTYZ SADOWYCH,UL. WESTERPLATTE 9,PL 31-033 KRAKW,POLAND"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"ARTICLE"	"Scopus"	";DELTA-9- TETRAHYDROCANNABINOLIC ACID;DELTA-9-TETRAHYDROCANNABINOL;FIBRE CANNABIS;HEMP"
"A COMPARISON OF DNA COLLECTION AND RETRIEVAL FROM TWO SWAB TYPES (COTTON AND NYLON FLOCKED SWAB) WHEN PROCESSED USING THREE QIAGEN EXTRACTION METHODS"	2012	"BROWNLOW RJ;DAGNALL KE;AMES CE"	""	""	"BIOROBOT EZ1;  COTTON SWAB;  DNA EXTRACTION;  FLOCKED SWAB;  FORENSIC SCIENCE;  NYLON SWAB;  QIAAMP DNA INVESTIGATOR KIT;  QIACUBE"	"DNA;NYLON;ANALYSIS OF VARIANCE;ARTICLE;CHEMISTRY;COMPARATIVE STUDY;COTTON;DNA FINGERPRINTING;HUMAN;INSTRUMENTATION;ISOLATION AND PURIFICATION;LABORATORY DIAGNOSIS;METHODOLOGY;REAL TIME POLYMERASE CHAIN REACTION;SALIVA;COTTON FIBER;HUMANS;NYLONS;REAL-TIME POLYMERASE CHAIN REACTION;SPECIMEN HANDLING"	NA	"DIRECTORATE OF FORENSIC SERVICES,METROPOLITAN POLICE SERVICE,LONDON SW1H 0BG,UNITED KINGDOM"	"DIRECTORATE OF FORENSIC SERVICES,METROPOLITAN POLICE SERVICE,LONDON SW1H 0BG,UNITED KINGDOM"	"10.1111/j.1556-4029.2011.02022.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	";BIOROBOT EZ1;COTTON SWAB;DNA EXTRACTION;FLOCKED SWAB;FORENSIC SCIENCE;NYLON SWAB;QIAAMP DNA INVESTIGATOR KIT;QIACUBE"
"A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER"	2006	"SERMIER FM;MASSONNET G;BUZZINI P;FORTINI A;GASON F;DE WAEL K;ROVAS P"	""	""	"AUTOMATIC SEARCH;  FIBRE FINDER;  FIBRES;  FIBRES RECOVERY"	"ARTICLE;FIBER;FORENSIC IDENTIFICATION;FORENSIC MEDICINE;INTERMETHOD COMPARISON;LABORATORY APPARATUS;EQUIPMENT AND SUPPLIES;LABORATORY AUTOMATION;LABORATORY TEST;PARAMETER;PRIORITY JOURNAL"	NA	"ECOLE DE SCIENCES CRIMINELLES,INSTITUT DE POLICE SCIENTIFIQUE,UNIVERSITY OF LAUSANNE,CH-1015 DORIGNY,SWITZERLAND; INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE,MINISTRE DE LA JUSTICE,CHAUSSE DE VILVORDE 98-100,B-1120 BRUXELLES,BELGIUM; KESKUSRIKOSPOLIISI,NATIONAL BUREAU OF INVESTIGATION,JOKINIEMENKUJA 4,FIN-01301 VANTAA,FINLAND"	"ECOLE DE SCIENCES CRIMINELLES,INSTITUT DE POLICE SCIENTIFIQUE,UNIVERSITY OF LAUSANNE,CH-1015 DORIGNY,SWITZERLAND; INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE,MINISTRE DE LA JUSTICE,CHAUSSE DE VILVORDE 98-100,B-1120 BRUXELLES,BELGIUM; KESKUSRIKOSPOLIISI,NATIONAL BUREAU OF INVESTIGATION,JOKINIEMENKUJA 4,FIN-01301 VANTAA,FINLAND"	"10.1016/j.forsciint.2005.08.015"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";AUTOMATIC SEARCH;FIBRE FINDER;FIBRES;FIBRES RECOVERY"
"A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING"	2018	"MACPHEE N;SAVAGE A;NOTON N;BEATTIE E;MILNE L;FRASER J"	"ARROW; PENETRATION; DAMAGE; CLOTHING; TISSUES; BONES"	"WOUNDS; BOW"	"ARROW;  BONES;  CLOTHING;  DAMAGE;  PENETRATION;  TISSUES"	"GELATIN;ARROW;ARTICLE;BALLISTICS;BLUNT TRAUMA;BONE MATRIX;COMPARATIVE STUDY;FEMUR;PENETRATING TRAUMA;RIB;SOFT TISSUE;SOFT TISSUE INJURY;SPINE;SURFACE AREA;WEAPON;X RAY;X-RAY COMPUTED TOMOGRAPHY;BIOLOGICAL MODEL;BONE;CLOTHING;DIAGNOSTIC IMAGING;EQUIPMENT DESIGN;FORENSIC MEDICINE;HUMAN;INJURIES;MICRO-COMPUTED TOMOGRAPHY;PATHOLOGY;THREE DIMENSIONAL IMAGING;BONE AND BONES;HUMANS;IMAGING;THREE-DIMENSIONAL;MODELS;BIOLOGICAL;WEAPONS;WOUNDS;PENETRATING;X-RAY MICROTOMOGRAPHY"	"FRASER, J (CORRESPONDING AUTHOR), ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND; MACPHEE, NICHOLE; SAVAGE, ANNE; NOTON, NIKOLAS; BEATTIE, EILIDH; MILNE, LOUISE; FRASER, JOANNA, ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND"	"ABERTAY UNIVERSITY,40 BELL STREET,DUNDEE,DD1 1HG,UNITED KINGDOM"	"ABERTAY UNIVERSITY,40 BELL STREET,DUNDEE,DD1 1HG,UNITED KINGDOM"	"10.1016/j.scijus.2017.11.005"	"SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"ARROW;PENETRATION;DAMAGE;CLOTHING;TISSUES;BONES"
"A COMPARISON OF THE USE OF VACUUM METAL DEPOSITION VERSUS CYANOACRYLATE FUMING FOR VISUALISATION OF FINGERMARKS AND GRAB IMPRESSIONS ON FABRICS"	2014	"FRASER J;DEACON P;BLEAY S;BREMNER DH"	""	""	"CYANOACRYLATE FUMING;  FABRICS;  FINGERMARKS;  PALMAR FLEXION CREASES;  RIDGE DETAIL;  VACUUM METAL DEPOSITION"	"CYANOACRYLATE;ESTER DERIVATIVE;GOLD;NYLON;POLYCOTTON;POLYESTER;UNCLASSIFIED DRUG;ZINC;ADULT;ARTICLE;CLOTHING;CONTROLLED STUDY;COTTON;CYANOACRYLATE FUMING;FABRIC;FEMALE;FINGER DERMATOGLYPHICS;HUMAN;HUMAN EXPERIMENT;HUMIDITY;INVESTIGATIVE PROCEDURES;MALE;MIDDLE AGED;NORMAL HUMAN;SAMPLE;SURFACE PROPERTY;VACUUM METAL DEPOSITION;FABRICS;FINGERMARKS;PALMAR FLEXION CREASES;RIDGE DETAIL;COTTON FIBER;CYANOACRYLATES;DERMATOGLYPHICS;HUMANS;NYLONS;POLYESTERS;VACUUM;VOLATILIZATION"	NA	"SCHOOL OF SCIENCE,ENGINEERING AND TECHNOLOGY,ABERTAY UNIVERSITY,40 BELL STREET,DUNDEE DD1 1HG,UNITED KINGDOM; FORENSIC SERVICES,SCOTTISH POLICE SERVICES AUTHORITY,RUSHTON COURT,3 WEST VICTORIA DOCK RD,DD1 3JT,UNITED KINGDOM; HOSDB,WOODCOCK HILL,SANDRIDGE,HERTS AL4 9HQ,UNITED KINGDOM"	"SCHOOL OF SCIENCE,ENGINEERING AND TECHNOLOGY,ABERTAY UNIVERSITY,40 BELL STREET,DUNDEE DD1 1HG,UNITED KINGDOM; FORENSIC SERVICES,SCOTTISH POLICE SERVICES AUTHORITY,RUSHTON COURT,3 WEST VICTORIA DOCK RD,DD1 3JT,UNITED KINGDOM; HOSDB,WOODCOCK HILL,SANDRIDGE,HERTS AL4 9HQ,UNITED KINGDOM"	"10.1016/j.scijus.2013.11.005"	"SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus"	";CYANOACRYLATE FUMING;FABRICS;FINGERMARKS;PALMAR FLEXION CREASES;RIDGE DETAIL;VACUUM METAL DEPOSITION"
"A COMPLEMENTARY FORENSIC `PROTEO-GENOMIC' APPROACH FOR THE DIRECT IDENTIFICATION OF BIOLOGICAL FLUID TRACES UNDER FINGERNAILS"	2018	"KAMANNA S;HENRY J;VOELCKER NH;LINACRE A;PAUL KIRKBRIDE K;KIRKBRIDE KP"	"FORENSIC SCIENCE; HAEMOGLOBIN; VAGINAL FLUID; MALDI-TOF MS"	"FLIGHT MASS-SPECTROMETRY; CERVICAL-VAGINAL FLUID; DIRECT PCR; STAINS;; BLOOD"	"FORENSIC SCIENCE;  HAEMOGLOBIN;  MALDI-TOF MS;  VAGINAL FLUID"	"BODY FLUIDS;CRIME;FORENSIC SCIENCE;INDUCTIVELY COUPLED PLASMA;MASS SPECTROMETRY;POLYMERASE CHAIN REACTION;PROTEINS;ANALYTICAL STRATEGY;COMPLEMENTARY TECHNIQUES;COMPREHENSIVE EXAMINATION;DIRECT IDENTIFICATIONS;DIRECT MASS SPECTROMETRY;HAEMOGLOBINS;MALDI TOF MS;TANDEM MASS SPECTROMETRY TECHNIQUES;BIOMARKERS;BIOLOGICAL MARKER;CRNN PROTEIN;HUMAN;MEMBRANE PROTEIN;TUMOR PROTEIN;ANIMAL;BLOOD;BODY FLUID;CHEMISTRY;ELECTROSPRAY MASS SPECTROMETRY;FEMALE;FORENSIC GENETICS;HUMAN GENOME;LIMIT OF DETECTION;LIQUID CHROMATOGRAPHY;MATRIX-ASSISTED LASER DESORPTION-IONIZATION MASS SPECTROMETRY;NAIL;PROTEOMICS;TANDEM MASS SPECTROMETRY;VAGINA;ANIMALS;CHROMATOGRAPHY;LIQUID;GENOME;HUMANS;MEMBRANE PROTEINS;NAILS;NEOPLASM PROTEINS;SPECTROMETRY;MASS;ELECTROSPRAY IONIZATION;MATRIX-ASSISTED LASER DESORPTION-IONIZATION"	"KIRKBRIDE, KP (CORRESPONDING AUTHOR), FLINDERS UNIV S AUSTRALIA, COLL SCI \& ENGN, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA; KAMANNA, SATHISHA; LINACRE, ADRIAN; KIRKBRIDE, K PAUL, FLINDERS UNIV S AUSTRALIA, COLL SCI \& ENGN, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA; HENRY, JULIANNE, FORENS SCI SA, GPO BOX 2790, ADELAIDE, SA 5001, AUSTRALIA; VOELCKER, NICO, MONASH UNIV, MELBOURNE CTR NANOFABRICAT, CLAYTON, VIC 3168, AUSTRALIA"	"COLLEGE OF SCIENCE AND ENGINEERING,FLINDERS UNIVERSITY,GPO BOX 2100,ADELAIDE,SA  5001,AUSTRALIA; FORENSIC SCIENCE SA,GPO BOX 2790,AUSTRALIA; MELBOURNE CENTRE FOR NANOFABRICATION,MONASH UNIVERSITY,CLAYTON,VIC  3168,AUSTRALIA"	"COLLEGE OF SCIENCE AND ENGINEERING,FLINDERS UNIVERSITY,GPO BOX 2100,ADELAIDE,SA  5001,AUSTRALIA; FORENSIC SCIENCE SA,GPO BOX 2790,AUSTRALIA; MELBOURNE CENTRE FOR NANOFABRICATION,MONASH UNIVERSITY,CLAYTON,VIC  3168,AUSTRALIA"	"10.1007/s00216-018-1223-3"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;HAEMOGLOBIN;VAGINAL FLUID;MALDI-TOF MS"
"A COMPREHENSIVE SAMPLE PREPARATION SCHEME FOR ACCELERANTS IN SUSPECT ARSON CASES"	1999	"REN Q;BERTSCH W;REN QL"	"FORENSIC SCIENCE; ARSON; FIRE DEBRIS; SAMPLE PREPARATION; SOLID PHASE; MICRO EXTRACTION; ACCELERANTS; GAS CHROMATOGRAPHY/MASS SPECTROMETRY"	"SOLID-PHASE MICROEXTRACTION; PASSIVE DIFFUSION; DEBRIS; EXTRACTION;; RECOVERY; CARBON; SPME"	"ACCELERANTS;  ARSON;  FIRE DEBRIS;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY/MASS SPECTROMETRY;  SAMPLE PREPARATION;  SOLID PHASE MICRO EXTRACTION"	"CHARCOAL;DIESEL FUEL;DIMETICONE;METHANOL;SOLVENT;ADSORPTION;ARSON;ARTICLE;FIRE;FORENSIC IDENTIFICATION;GAS CHROMATOGRAPHY;MASS SPECTROMETRY;PRIORITY JOURNAL;SOLID PHASE EXTRACTION"	"BERTSCH, W (CORRESPONDING AUTHOR), UNIV ALABAMA, JOURNAL HIGH RESOLUTION CHROMATOG, DEPT CHEM, LLOYD HALL,BOX 870336, TUSCALOOSA, AL 35487 USA; UNIV ALABAMA, JOURNAL HIGH RESOLUTION CHROMATOG, DEPT CHEM, TUSCALOOSA, AL 35487 USA"	"UNIVERSITY OF ALABAMA,DEPARTMENT OF CHEMISTRY,TUSCALOOSA,AL 35487-0336,UNITED STATES; JNL. OF HIGH RESOLUTION CHROM.,LLOYD HALL,UNITED STATES"	"UNIVERSITY OF ALABAMA,DEPARTMENT OF CHEMISTRY,TUSCALOOSA,AL 35487-0336,UNITED STATES; JNL. OF HIGH RESOLUTION CHROM.,LLOYD HALL,UNITED STATES"	"10.1520/jfs14501j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;ARSON;FIRE DEBRIS;SAMPLE PREPARATION;SOLID PHASE;MICRO EXTRACTION;ACCELERANTS;GAS CHROMATOGRAPHY/MASS SPECTROMETRY;SOLID PHASE MICRO EXTRACTION"
