Authors	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Author Keywords	Index Keywords	Document Type	Publication Stage	Access Type	Source	EID
"Woodall L.C., Gwinnett C., Packer M., Thompson R.C., Robinson L.F., Paterson G.L.J."	25937039800;56612054800;16316653700;35453492500;7202234116;56692996300;	Using a forensic science approach to minimize environmental contamination and to identify microfibres in marine sediments	2015	Marine Pollution Bulletin	95	1		40	46		106	10.1016/j.marpolbul.2015.04.044	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933675528&doi=10.1016%2fj.marpolbul.2015.04.044&partnerID=40&md5=656cfc3ee28fc20e0918f4069c9ac3ee	Deep-sea; Microfibre; Microplastic; Pollution; Sediment	"Pollution; Sediments; Ships; Submarine geology; Water pollution; Control measures; Deep sea; Environmental contamination; Forensic science; Marine sediments; Microfibre; Microplastic; Research vessels; Marine pollution; acrylic acid copolymer; cellulose; copolymer; modacrylic acid; nanofiber; plastic; polyester; unclassified drug; plastic; water; water pollutant; deep-sea sediment; forensic science; plastic; pollution control; sediment pollution; Article; controlled study; environmental monitoring; forensic science; nylon fiber; prevalence; sea pollution; sediment; synthetic fiber; analysis; chemistry; forensic science; pollution; prevention and control; procedures; water pollutant; Environmental Monitoring; Environmental Pollution; Forensic Sciences; Geologic Sediments; Plastics; Water; Water Pollutants, Chemical"	Article	Final	Open Access	Scopus	2-s2.0-84933675528
"Evett I.W., Jackson G., Lambert J.A."	35575837900;7402321350;7401836784;	More on the hierarchy of propositions: Exploring the distinction between explanations and propositions	2000	Science and Justice - Journal of the Forensic Science Society	40	1		3	10		103	10.1016/S1355-0306(00)71926-5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034034153&doi=10.1016%2fS1355-0306%2800%2971926-5&partnerID=40&md5=d1e89ee9fb46846f67b438e8511ff418	Bayesian inference; Decision-making; Fibres; Forensic science; Glass; Likelihood ratio; Probability; Statistics	comprehension; crime; criminal justice; expert witness; forensic science; rape; review	Article	Final		Scopus	2-s2.0-0034034153
"Kabir A., Furton K.G., Malik A."	7005744830;7004543580;7402152912;	Innovations in sol-gel microextraction phases for solvent-free sample preparation in analytical chemistry	2013	TrAC - Trends in Analytical Chemistry	45			197	218		102	10.1016/j.trac.2012.11.014	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875486372&doi=10.1016%2fj.trac.2012.11.014&partnerID=40&md5=e9ff20be6eb63a93e2929570f7995e20	Capillary microextraction (CME); Green analytical chemistry; Micro-sample; Microextraction; Nano-sample; Sample preparation; Sol-gel; Solid-phase microextraction (SPME); Solvent-free sample preparation; Stir-bar sorptive extraction (SBSE)	Chemical analysis; Extraction; Inorganic polymers; Organic polymers; Sol-gel process; Solvents; Green analytical chemistry; Micro-sample; Microextraction; Nano-sample; Sample preparation; Solid-phase microextraction; Stir-bar sorptive extraction (SBSE); Sol-gels; beta cyclodextrin; calixarene; copper; crown ether; dendrimer; dimeticone; fullerene; hydroxyfullerene; ionic liquid; macrogol; metal; molecularly imprinted polymer; organometallic compound; poly(tetrahydrofuran); polymer; polyvinyl alcohol; unclassified drug; analysis; capillary microextraction; chemical bond; chemical reaction; extraction; gelation; high performance liquid chromatography; hollow fiber; limit of detection; mass spectrometry; material coating; pH; physical chemistry; priority journal; review; scanning electron microscopy; sensitivity and specificity; sol gel microextraction; solid phase microextraction; stir bar sorptive extraction; surface property; thermostability	Review	Final		Scopus	2-s2.0-84875486372
"Geddes J.F., Vowles G.H., Beer T.W., Ellison D.W."	7102899468;6602427411;7005404879;34975071400;	The diagnosis of diffuse axonal injury: Implications for forensic practice	1997	Neuropathology and Applied Neurobiology	23	4		339	347		102	10.1111/j.1365-2990.1997.tb01305.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030804755&doi=10.1111%2fj.1365-2990.1997.tb01305.x&partnerID=40&md5=f37480b3c7a69e653feae3823b1adf57	Diffuse axonal injury; Forensic medicine; Head injuries; ?-amyloid precursor protein	amyloid precursor protein; antibody; brain protein; CD68 antigen; glial fibrillary acidic protein; adolescent; adult; aged; antibody labeling; article; brain injury; brain ischemia; brain stem; cerebellum tentorium; clinical article; corpus callosum; diffuse axonal injury; female; forensic medicine; head injury; histology; human; human tissue; immunocytochemistry; immunohistochemistry; male; microglia; nerve fiber; priority journal; school child; survival time	Article	Final		Scopus	2-s2.0-0030804755
"Yashiki M., Kojima T., Miyazaki T., Nagasawa N., Iwasaki Y., Hara K."	7005203253;7403447954;7404107064;8078238200;55732134500;55331093700;	Detection of amphetamines in urine using head space-solid phase microextraction and chemical ionization selected ion monitoring	1995	Forensic Science International	76	3		169	177		101	10.1016/0379-0738(95)01819-0	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029613883&doi=10.1016%2f0379-0738%2895%2901819-0&partnerID=40&md5=6a41ca07a373516805995e4b6a978cb0	Amphetamines; Gas chromatography-mass spectrometry; Head space; SPME; Urine	amphetamine; carbonic acid; methamphetamine; accuracy; adsorption; article; controlled study; drug urine level; gas chromatography; human; ion monitoring; ionization; male; mass spectrometry; priority journal; quantitative assay; urinalysis; Amphetamine; Central Nervous System Stimulants; Forensic Medicine; Gas Chromatography-Mass Spectrometry; Humans; Ion-Selective Electrodes; Methamphetamine; Sensitivity and Specificity; Substance Abuse Detection	Article	Final		Scopus	2-s2.0-0029613883
"D'Agostino P.A., Hancock J.R., Chenier C.L., Lepage C.R.J."	7006608469;7202389366;6602880040;7003408832;	Liquid chromatography electrospray tandem mass spectrometric and desorption electrospray ionization tandem mass spectrometric analysis of chemical warfare agents in office media typically collected during a forensic investigation	2006	Journal of Chromatography A	1110	01-Feb		86	94		97	10.1016/j.chroma.2006.01.083	https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644853815&doi=10.1016%2fj.chroma.2006.01.083&partnerID=40&md5=36ad61215f9fd45c42678d6fa4813779	Chemical warfare agents; Desorption electrospray ioniozation; Electrospray ionization; Liquid chromatography; Mass spectrometry; Tandem mass spectrometry	"Desorption; Error analysis; Ionization; Liquid chromatography; Mass spectrometers; Surfaces; Chemical warfare agents; Electrospray ionization; High resolution mass spectra; Chemical warfare; chemical warfare agent; cyclosarin; phosphate; sarin; soman; tabun; triethyl phosphate; unclassified drug; article; chemical analysis; desorption; electrospray mass spectrometry; liquid chromatography; priority journal; solid phase microextraction; Central Nervous System Agents; Chemical Warfare Agents; Chromatography, Liquid; Forensic Medicine; Organophosphorus Compounds; Phosphoric Acid Esters; Reproducibility of Results; Sarin; Sensitivity and Specificity; Soman; Specimen Handling; Spectrometry, Mass, Electrospray Ionization; Time Factors"	Article	Final		Scopus	2-s2.0-33644853815
Blackburn R.S.	7101906087;	Biodegradable and sustainable fibres	2005	Biodegradable and Sustainable Fibres				1	456		93	10.1533/9781845690991	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903932583&doi=10.1533%2f9781845690991&partnerID=40&md5=3c452470fbd5b6499b5f1feab1a805fd			Book	Final		Scopus	2-s2.0-84903932583
"Furton K.G., Almirall J.R., Bi M., Wang J., Wu L."	7004543580;7004960911;57206375389;15066292100;7404904834;	Application of solid-phase microextraction to the recovery of explosives and ignitable liquid residues from forensic specimens	2000	Journal of Chromatography A	885	01-Feb		419	432		92	10.1016/S0021-9673(00)00368-X	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034648037&doi=10.1016%2fS0021-9673%2800%2900368-X&partnerID=40&md5=6ec0fc7cc42bdb1705ecf93762dbaca0	Explosives; Forensic analysis; Ignitable liquids; Solid-phase microextraction	"explosive; arson; article; comparative study; desorption; extraction; fiber; forensic identification; high performance liquid chromatography; human; nonhuman; priority journal; sample; solid phase extraction; technique; temperature; United States; Chemistry, Analytical; Chromatography, Gas; Chromatography, High Pressure Liquid; Crime; Explosions; Organic Chemicals"	Article	Final		Scopus	2-s2.0-0034648037
"Marin ?., Vl?sceanu G.M., ?iplea R.E., Bucur I.R., Lemnaru M., Marin M.M., Grumezescu A.M."	57016330200;56733034900;56681230600;56680953100;56681115600;7202222017;36503987100;	Applications and toxicity of silver nanoparticles: A recent review	2015	Current Topics in Medicinal Chemistry	15	16		1596	1604		90	10.2174/1568026615666150414142209	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930909871&doi=10.2174%2f1568026615666150414142209&partnerID=40&md5=f2d6705906c478c323624fc7d9c45417	Antimicrobials; Biomedical applications; Drug delivery; Drug targeting; Nanotherapeutics; Silver; Silver nanoparticles; Toxicity	silver nanoparticle; antiinfective agent; drug carrier; metal nanoparticle; silver; antimicrobial activity; Article; biomedical engineering; biomedicine; cell membrane permeability; Chlamydia trachomatis; drug delivery system; Escherichia coli; forensic science; gene targeting; genetic procedures; immune response; inflammation; Neisseria gonorrhoeae; nonhuman; oxidative stress; toxicity testing; cell line; chemistry; human; nanomedicine; particle size; procedures; Anti-Infective Agents; Cell Line; Drug Carriers; Humans; Metal Nanoparticles; Nanomedicine; Particle Size; Silver	Article	Final		Scopus	2-s2.0-84930909871
"Magnusson S.P., Qvortrup K., Larsen J.O., Rosager S., Hanson P., Aagaard P., Krogsgaard M., Kjaer M."	55667462400;55210215600;7402981063;7801640425;7202059994;55043777500;7003606322;26424698800;	Collagen fibril size and crimp morphology in ruptured and intact Achilles tendons	2002	Matrix Biology	21	4		369	377		89	10.1016/S0945-053X(02)00011-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036067595&doi=10.1016%2fS0945-053X%2802%2900011-2&partnerID=40&md5=2384970a7d45a540e98e7601131f3cb8	Collagen molecule; Crimp angle; Electron microscopy; Fibril diameter	"collagen fiber; collagen fibril; fibril associated collagen; Fibril Associated Collagens; achilles tendon; achilles tendon rupture; adult; article; biopsy; cell size; cell structure; clinical article; controlled study; electron microscopy; female; human; human tissue; male; priority journal; achilles tendon; chemistry; cytology; metabolism; middle aged; pathology; polarization microscopy; rupture; tendon injury; tensile strength; Achilles Tendon; Adult; Female; Fibril-Associated Collagens; Humans; Male; Microscopy, Electron; Microscopy, Polarization; Middle Aged; Rupture; Tendon Injuries; Tensile Strength"	Article	Final		Scopus	2-s2.0-0036067595
"Timmons C.F., Brian Dawson D., Sue Richards C., Andrews W.S., Katz J.A."	7005263240;6504479662;57192352051;35396086100;56822193200;	Epstein–Barr virus–associated leiomyosarcomas in liver transplantation recipients. Origin from either donor or recipient tissue	1995	Cancer	76	8		1481	1489		89	10.1002/1097-0142(19951015)76:8<1481::AID-CNCR2820760828>3.0.CO;2-K	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029080787&doi=10.1002%2f1097-0142%2819951015%2976%3a8%3c1481%3a%3aAID-CNCR2820760828%3e3.0.CO%3b2-K&partnerID=40&md5=31c4ed9f0f7104a64ed7d1766d6b0935	Epstein?Barr virus; leiomyosarcoma; liver transplantation; smooth muscle	"article; cancer risk; case report; cell proliferation; epstein barr virus; female; human; immune deficiency; immunosuppressive treatment; latent virus infection; leiomyosarcoma; liver transplantation; male; malignant transformation; priority journal; school child; smooth muscle fiber; tumor growth; Base Sequence; Case Report; Child; DNA, Viral; Female; Herpesviridae Infections; Herpesvirus 4, Human; Human; In Situ Hybridization; Leiomyosarcoma; Liver Neoplasms; Liver Transplantation; Male; Molecular Sequence Data; Polymerase Chain Reaction; Retroperitoneal Neoplasms; Risk Factors; Tumor Virus Infections"	Article	Final		Scopus	2-s2.0-0029080787
"Thali M.J., Kneubuehl B.P., Zollinger U., Dirnhofer R."	7005096122;6603616065;7004337868;7006721251;	The 'Skin-skull-brain model': A new instrument for the study of gunshot effects	2002	Forensic Science International	125	02-Mar		178	189		87	10.1016/S0379-0738(01)00637-5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037127391&doi=10.1016%2fS0379-0738%2801%2900637-5&partnerID=40&md5=a02ce13fc32ef9a65c5a9d6c8fe2e9a7	Ballistic; Forensic science; Gunshot; Head model; Skin-skull-brain model	"article; bullet; cadaver; cerebrovascular accident; controlled study; experimental model; forensic science; fracture; gunshot injury; head injury; morphology; nonhuman; priority journal; skin; skull; Brain Injuries; Forensic Medicine; Humans; Models, Anatomic; Skin; Skull; Wounds, Gunshot"	Article	Final		Scopus	2-s2.0-0037127391
"Hortobágyi T., Wise S., Hunt N., Cary N., Djurovic V., Fegan-Earl A., Shorrock K., Rouse D., Al-Sarraj S."	54886907000;57197263308;57194221224;57196864622;6602886887;16030536000;16032427000;57197298644;57203252040;	Traumatic axonal damage in the brain can be detected using ?-APP immunohistochemistry within 35 min after head injury to human adults	2007	Neuropathology and Applied Neurobiology	33	2		226	237		86	10.1111/j.1365-2990.2006.00794.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847743484&doi=10.1111%2fj.1365-2990.2006.00794.x&partnerID=40&md5=61ca7df018f7900ddd880bc47a6b3355	?-amyloid precursor protein (?-APP); Antigen retrieval; Diffuse traumatic axonal injury; Immunohistochemistry; Survival time	"amyloid precursor protein; adult; aged; article; basal ganglion; brain region; cerebellum; corpus callosum; female; head injury; human; human tissue; immunohistochemistry; immunoreactivity; major clinical study; male; nerve fiber degeneration; parietal lobe; priority journal; white matter; Adult; Aged; Aged, 80 and over; Amyloid beta-Protein Precursor; Axons; Brain Injuries; Female; Forensic Sciences; Humans; Immunohistochemistry; Male; Microwaves; Middle Aged; Severity of Illness Index; Time Factors"	Article	Final		Scopus	2-s2.0-33847743484
"Jurado C., Giménez M.P., Soriano T., Menéndez M., Repetto M."	6701501715;24402899300;36828563200;7102690492;10639288200;	"Rapid analysis of amphetamine, methamphetamine, MDA, and MDMA in urine using solid-phase microextraction, direct on-fiber derivatization, and analysis by GC-MS"	2000	Journal of Analytical Toxicology	24	1		11	16		86	10.1093/jat/24.1.11	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343820064&doi=10.1093%2fjat%2f24.1.11&partnerID=40&md5=0ffb8aaebeb5bbb6b8a4f0eab23c3f31		amphetamine derivative; dimeticone; methamphetamine; adsorption; article; calibration; data analysis; drug determination; drug isolation; drug urine level; extraction; gas chromatography; ion monitoring; laboratory diagnosis; mass spectrometry	Article	Final	Open Access	Scopus	2-s2.0-0343820064
